#      |i-j|        0.000000
              -9    5.025511E-03
              -8    4.770490E-18
              -7   -5.572541E-03
              -6   -1.734723E-17
              -5    7.026706E-03
              -4   -6.071532E-18
              -3   -1.095930E-02
              -2    0.000000E+00
              -1    3.192399E-02
               0    5.000000E-02
               1    3.192399E-02
               2    0.000000E+00
               3   -1.095930E-02
               4   -6.071532E-18
               5    7.026706E-03
               6   -1.734723E-17
               7   -5.572541E-03
               8    4.770490E-18
               9    5.025511E-03
              10   -5.361562E-17
