#      |i-j|        0.000000
             -12    8.673617E-19
             -11   -2.036602E-04
             -10    3.903128E-18
              -9    2.596863E-04
              -8    2.168404E-19
              -7   -4.028558E-04
              -6   -1.376937E-17
              -5    8.144400E-04
              -4   -2.059984E-17
              -3   -2.518630E-03
              -2   -7.372575E-18
              -1    2.117859E-02
               0    3.846154E-02
               1    2.117859E-02
               2   -7.372575E-18
               3   -2.518630E-03
               4   -2.059984E-17
               5    8.144400E-04
               6   -1.376937E-17
               7   -4.028558E-04
               8    2.168404E-19
               9    2.596863E-04
              10    3.903128E-18
              11   -2.036602E-04
              12    8.673617E-19
              13    1.883820E-04
