# M=8, N=4, V0=0.0, V=0.765, PBC
#  time (tJ)                 S₁(n=2)                 S₂(n=2)
    0.000000      0.000000000000E+00     -4.440892098501E-16
    0.100000      1.156770399178E-02      2.959340867473E-03
    0.200000      3.645806402686E-02      1.125277155593E-02
    0.300000      6.686106490538E-02      2.327447124097E-02
    0.400000      9.697753117639E-02      3.679127940809E-02
    0.500000      1.223851560070E-01      4.945704147605E-02
    0.600000      1.401561463422E-01      5.930315669030E-02
    0.700000      1.489239405084E-01      6.509354046230E-02
    0.800000      1.488333764723E-01      6.648284717592E-02
    0.900000      1.413794346675E-01      6.396015262814E-02
    1.000000      1.291606648589E-01      5.860003832191E-02
    1.100000      1.156516753679E-01      5.169258358484E-02
    1.200000      1.039267446657E-01      4.437230781242E-02
    1.300000      9.379427032263E-02      3.737698469093E-02
    1.400000      8.385746221286E-02      3.101466313862E-02
    1.500000      7.314025993139E-02      2.532012768263E-02
    1.600000      6.159945305419E-02      2.029748609421E-02
    1.700000      5.038687741140E-02      1.612406115832E-02
    1.800000      4.248842026412E-02      1.323418137916E-02
    1.900000      4.089960678758E-02      1.226642013171E-02
    2.000000      4.455442975602E-02      1.390085828637E-02
    2.100000      5.339680386069E-02      1.862756162056E-02
    2.200000      6.795540107768E-02      2.649646416618E-02
    2.300000      8.858301303443E-02      3.691840840761E-02
    2.400000      1.124529223727E-01      4.860388671147E-02
    2.500000      1.346937410831E-01      5.970852090825E-02
    2.600000      1.514668575121E-01      6.818729580398E-02
    2.700000      1.599558684485E-01      7.227003575345E-02
    2.800000      1.585148526356E-01      7.091336968432E-02
    2.900000      1.467961876690E-01      6.409250750113E-02
    3.000000      1.258940129046E-01      5.285279528041E-02
    3.100000      9.836596297499E-02      3.910961216022E-02
    3.200000      6.812220549716E-02      2.524726551079E-02
    3.300000      4.026409229236E-02      1.361638325434E-02
    3.400000      2.094080796293E-02      6.052644121024E-03
    3.500000      1.408897047143E-02      3.529823691615E-03
    3.600000      2.178387002542E-02      6.023810411727E-03
    3.700000      4.120286757903E-02      1.261200418138E-02
    3.800000      6.509975835407E-02      2.177197235724E-02
    3.900000      8.823855121505E-02      3.178812043761E-02
    4.000000      1.073228340479E-01      4.114720415165E-02
    4.100000      1.206549435686E-01      4.881569400090E-02
    4.200000      1.280316668040E-01      5.433622485875E-02
    4.300000      1.305245678108E-01      5.773844190781E-02
    4.400000      1.301500965362E-01      5.931680456681E-02
    4.500000      1.294442371798E-01      5.937002990186E-02
    4.600000      1.291902692188E-01      5.800719202772E-02
    4.700000      1.273778581647E-01      5.509664650935E-02
    4.800000      1.218754602801E-01      5.037667385368E-02
    4.900000      1.112104754141E-01      4.368348017087E-02
    5.000000      9.496734613482E-02      3.520553548902E-02
    5.100000      7.408794844943E-02      2.565846366170E-02
    5.200000      5.104641179921E-02      1.629604970238E-02
    5.300000      3.010954319693E-02      8.724208359189E-03
    5.400000      1.755841339908E-02      4.552274212980E-03
    5.500000      1.832588019665E-02      4.977707306103E-03
    5.600000      3.220172013615E-02      1.042938684048E-02
    5.700000      5.658410412554E-02      2.037731027895E-02
    5.800000      8.588383838312E-02      3.336541928040E-02
    5.900000      1.146010409671E-01      4.726509121433E-02
    6.000000      1.384216370319E-01      5.969519684692E-02
    6.100000      1.542555139387E-01      6.851454827213E-02
    6.200000      1.603717003574E-01      7.227078363051E-02
    6.300000      1.564216358670E-01      7.049636268447E-02
    6.400000      1.433551959234E-01      6.377721417262E-02
    6.500000      1.233544257514E-01      5.357348239237E-02
    6.600000      9.974822627845E-02      4.183881459420E-02
    6.700000      7.694717264343E-02      3.055126207189E-02
    6.800000      5.898674179381E-02      2.129987559400E-02
    6.900000      4.676506585234E-02      1.503849155680E-02
    7.000000      4.029449539445E-02      1.204107233347E-02
    7.100000      3.967779140723E-02      1.202252559923E-02
    7.200000      4.564329114691E-02      1.435755063607E-02
    7.300000      5.687818109811E-02      1.832954506469E-02
    7.400000      6.938975162554E-02      2.334692302407E-02
    7.500000      8.126771681345E-02      2.906642434639E-02
    7.600000      9.205379467087E-02      3.537702175642E-02
    7.700000      1.023101211369E-01      4.224175864894E-02
    7.800000      1.131823667086E-01      4.946170632251E-02
    7.900000      1.256003330589E-01      5.647888994883E-02
    8.000000      1.380872919928E-01      6.233221268514E-02
    8.100000      1.471419367794E-01      6.581492370531E-02
    8.200000      1.498045939511E-01      6.579080424158E-02
    8.300000      1.441397092762E-01      6.156037826365E-02
    8.400000      1.295058749418E-01      5.315575158860E-02
    8.500000      1.067421576468E-01      4.147379435391E-02
    8.600000      7.822708773898E-02      2.820396572185E-02
    8.700000      4.782243635327E-02      1.555087873913E-02
    8.800000      2.075802838108E-02      5.795600189171E-03
    8.900000      3.727232442077E-03      7.891926374644E-04
    9.000000      6.409707342551E-03      1.511725807236E-03
    9.100000      2.678080728487E-02      7.829376883288E-03
    9.200000      5.528564622619E-02      1.852683554358E-02
    9.300000      8.562528552938E-02      3.160267375862E-02
    9.400000      1.129248297824E-01      4.473415419095E-02
    9.500000      1.337078866343E-01      5.577940526999E-02
    9.600000      1.459937044198E-01      6.319420107754E-02
    9.700000      1.493134698958E-01      6.627778570173E-02
    9.800000      1.446178623918E-01      6.520559622721E-02
    9.900000      1.340688269524E-01      6.085147224605E-02
   10.000000      1.207556651470E-01      5.445347252065E-02
   10.100000      1.082433130279E-01      4.722967753007E-02
   10.200000      9.786892071871E-02      4.007651462310E-02
   10.300000      8.819755899189E-02      3.345335057444E-02
   10.400000      7.795449883790E-02      2.747420112054E-02
   10.500000      6.662392953600E-02      2.213246260948E-02
   10.600000      5.477026891559E-02      1.753377390335E-02
   10.700000      4.454290269695E-02      1.403076588665E-02
   10.800000      4.018627793897E-02      1.221653905323E-02
   10.900000      4.189217148510E-02      1.279250416226E-02
   11.000000      4.910663076861E-02      1.635312375367E-02
   11.100000      6.206070713989E-02      2.313606866161E-02
   11.200000      8.083762059111E-02      3.279713946770E-02
   11.300000      1.040833270441E-01      4.428930733971E-02
   11.400000      1.275134502547E-01      5.592719204307E-02
   11.500000      1.467665913650E-01      6.567166544298E-02
   11.600000      1.585979304176E-01      7.158041958608E-02
   11.700000      1.608941372287E-01      7.229059708704E-02
   11.800000      1.528026127614E-01      6.738211791110E-02
   11.900000      1.348776191368E-01      5.751872230672E-02
   12.000000      1.091388220135E-01      4.433683024840E-02
   12.100000      7.901443281841E-02      3.011487923732E-02
   12.200000      4.915903393985E-02      1.730121554365E-02
   12.300000      2.541440188542E-02      8.008199725460E-03
   12.400000      1.379718687195E-02      3.589102825387E-03
   12.500000      1.663603815253E-02      4.398263182285E-03
   12.600000      3.311420510288E-02      9.793517559994E-03
   12.700000      5.646093408626E-02      1.837631990005E-02
   12.800000      8.041934363228E-02      2.839349675586E-02
   12.900000      1.010897141419E-01      3.817442315811E-02
   13.000000      1.162593623098E-01      4.647491371369E-02
   13.100000      1.252746577401E-01      5.264343833009E-02
   13.200000      1.288372780458E-01      5.658983430390E-02
   13.300000      1.287044952756E-01      5.859524016715E-02
   13.400000      1.273704934667E-01      5.904361231406E-02
   13.500000      1.270787310372E-01      5.817599439103E-02
   13.600000      1.265775747407E-01      5.596196898024E-02
   13.700000      1.233722084459E-01      5.214267209519E-02
   13.800000      1.155202494287E-01      4.643269182690E-02
   13.900000      1.020411025424E-01      3.879872725300E-02
   14.000000      8.324261129986E-02      2.969511665049E-02
   14.100000      6.090791879601E-02      2.015028934322E-02
   14.200000      3.842851145150E-02      1.165399804064E-02
   14.300000      2.136410216885E-02      5.864570392742E-03
   14.400000      1.627447293492E-02      4.213520864030E-03
   14.500000      2.435703081126E-02      7.516529215258E-03
   14.600000      4.477872792714E-02      1.569814367886E-02
   14.700000      7.306162523331E-02      2.770775107885E-02
   14.800000      1.030876266688E-01      4.166013515909E-02
   14.900000      1.299532681869E-01      5.518414135901E-02
   15.000000      1.498735854884E-01      6.590968749087E-02
   15.100000      1.603999223358E-01      7.197730089062E-02
   15.200000      1.605311647616E-01      7.243844224747E-02
   15.300000      1.506702920517E-01      6.744148521784E-02
   15.400000      1.325481919064E-01      5.815507575933E-02
   15.500000      1.091488989739E-01      4.645015008715E-02
   15.600000      8.459479235506E-02      3.443319224400E-02
   15.700000      6.374760752489E-02      2.397277805400E-02
   15.800000      4.874386673548E-02      1.635582473460E-02
   15.900000      4.019072745298E-02      1.214703926011E-02
   16.000000      3.782490835827E-02      1.124548045447E-02
   16.100000      4.196728927793E-02      1.307934383207E-02
   16.200000      5.278042481228E-02      1.686439036047E-02
   16.300000      6.590749118971E-02      2.185568269377E-02
   16.400000      7.860018595653E-02      2.752915690408E-02
   16.500000      8.979371161577E-02      3.363973974668E-02
   16.600000      9.960918673399E-02      4.013144420671E-02
   16.700000      1.090905552876E-01      4.693044970454E-02
   16.800000      1.198069456206E-01      5.371459405670E-02
   16.900000      1.318218181886E-01      5.977971472629E-02
   17.000000      1.420946238636E-01      6.408742038029E-02
   17.100000      1.474376343325E-01      6.549692914810E-02
   17.200000      1.454954306923E-01      6.310402143433E-02
   17.300000      1.350256638308E-01      5.657331718136E-02
   17.400000      1.161292543917E-01      4.636114361458E-02
   17.500000      9.038097794449E-02      3.376133832075E-02
   17.600000      6.084937254674E-02      2.074305514916E-02
   17.700000      3.202826677026E-02      9.589825420458E-03
   17.800000      9.839010786962E-03      2.405212218385E-03
   17.900000      2.924712747276E-03      6.113214725683E-04
   18.000000      1.693717433069E-02      4.592877512166E-03
   18.100000      4.258122471519E-02      1.360149913632E-02
   18.200000      7.276796787114E-02      2.594500439918E-02
   18.300000      1.020605607606E-01      3.939184975895E-02
   18.400000      1.263035666840E-01      5.166573855380E-02
   18.500000      1.427852914677E-01      6.090369155846E-02
   18.600000      1.503102421086E-01      6.598326309619E-02
   18.700000      1.491554963249E-01      6.666244860866E-02
   18.800000      1.409166162664E-01      6.350940198433E-02
   18.900000      1.282537319418E-01      5.764129946823E-02
   19.000000      1.146019663794E-01      5.035041961003E-02
   19.100000      1.025377529019E-01      4.274671687803E-02
   19.200000      9.164867216251E-02      3.554641633343E-02
   19.300000      8.082531711586E-02      2.906778783603E-02
   19.400000      6.941519063650E-02      2.339396100624E-02
   19.500000      5.766935948760E-02      1.859283057554E-02
   19.600000      4.714487364058E-02      1.488416051423E-02
   19.700000      4.139454977809E-02      1.269605102433E-02
   19.800000      4.201737377022E-02      1.260692345714E-02
   19.900000      4.782486302686E-02      1.519393454356E-02
   20.000000      5.874143664058E-02      2.081537915949E-02
   20.100000      7.492852378458E-02      2.937180770684E-02
   20.200000      9.597272683524E-02      4.012373350671E-02
   20.300000      1.191573598413E-01      5.166302939829E-02
   20.400000      1.398566593913E-01      6.210325987041E-02
   20.500000      1.544246894152E-01      6.946884975937E-02
   20.600000      1.603046697350E-01      7.217081568756E-02
   20.700000      1.561529378709E-01      6.941777740313E-02
   20.800000      1.419916367936E-01      6.144264730595E-02
   20.900000      1.192722018257E-01      4.949246629236E-02
   21.000000      9.084031491436E-02      3.559043052801E-02
   21.100000      6.079227485826E-02      2.212506183480E-02
   21.200000      3.430560494846E-02      1.135719917947E-02
   21.300000      1.770422094729E-02      4.957859453695E-03
   21.400000      1.464580122772E-02      3.688817269789E-03
   21.500000      2.584478520660E-02      7.306416763093E-03
   21.600000      4.673159202838E-02      1.470946903710E-02
   21.700000      7.065040925642E-02      2.427903584676E-02
   21.800000      9.294755609812E-02      3.430027072280E-02
   21.900000      1.107060305944E-01      4.334099989228E-02
   22.000000      1.225712149348E-01      5.049070094080E-02
   22.100000      1.286216074545E-01      5.541558272295E-02
   22.200000      1.301379525420E-01      5.823948613863E-02
   22.300000      1.292337218594E-01      5.930808135409E-02
   22.400000      1.283161539812E-01      5.892875272588E-02
   22.500000      1.279385998670E-01      5.718764842458E-02
   22.600000      1.257965122610E-01      5.391875534591E-02
   22.700000      1.196775400793E-01      4.884184918099E-02
   22.800000      1.081906677252E-01      4.181627152867E-02
   22.900000      9.109208348804E-02      3.310436468536E-02
