# M=12, N=6, V0=0.0, V=0.15, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000      4.440892098501E-16     -4.440892098501E-16
    0.100000      8.278473506982E-04      1.484418659619E-04
    0.200000      2.777337805144E-03      5.662762804142E-04
    0.300000      5.337847642934E-03      1.177473801872E-03
    0.400000      8.048691389219E-03      1.875045393338E-03
    0.500000      1.050556233221E-02      2.545033012892E-03
    0.600000      1.240550570982E-02      3.090650430918E-03
    0.700000      1.357959333108E-02      3.450611415392E-03
    0.800000      1.400302189767E-02      3.607629216067E-03
    0.900000      1.378145804276E-02      3.585978487715E-03
    1.000000      1.311808873498E-02      3.439953620616E-03
    1.100000      1.226728712097E-02      3.237186504833E-03
    1.200000      1.148595333188E-02      3.041583268026E-03
    1.300000      1.096348103933E-02      2.900039165603E-03
    1.400000      1.075493976013E-02      2.835453320290E-03
    1.500000      1.083811117254E-02      2.846514301952E-03
    1.600000      1.115290593481E-02      2.912922455943E-03
    1.700000      1.159603123529E-02      3.003631210796E-03
    1.800000      1.200370051072E-02      3.085490748347E-03
    1.900000      1.225030619722E-02      3.130217432493E-03
    2.000000      1.226092884431E-02      3.118555329347E-03
    2.100000      1.200479467858E-02      3.041480985211E-03
    2.200000      1.149222257826E-02      2.899068626337E-03
    2.300000      1.076662955271E-02      2.698059603400E-03
    2.400000      9.890056365612E-03      2.449257222439E-03
    2.500000      8.914925232148E-03      2.165648811528E-03
    2.600000      7.872220108914E-03      1.861729193574E-03
    2.700000      6.789650075682E-03      1.553979937039E-03
    2.800000      5.713517672482E-03      1.261979852773E-03
    2.900000      4.726584491474E-03      1.009307090271E-03
    3.000000      3.951116776638E-03      8.233252383687E-04
    3.100000      3.539196686341E-03      7.331551800509E-04
    3.200000      3.648437351285E-03      7.655993346392E-04
    3.300000      4.334555402330E-03      9.394315141349E-04
    3.400000      5.543749404116E-03      1.259158609609E-03
    3.500000      7.187045098998E-03      1.709901597306E-03
    3.600000      9.126241370644E-03      2.255207488068E-03
    3.700000      1.116407450109E-02      2.839219795338E-03
    3.800000      1.307332463028E-02      3.393685519471E-03
    3.900000      1.462584167869E-02      3.848958671206E-03
    4.000000      1.562958461353E-02      4.146858239194E-03
    4.100000      1.596827419364E-02      4.252400672774E-03
    4.200000      1.562224690315E-02      4.161394190422E-03
    4.300000      1.467390799089E-02      3.901744814027E-03
    4.400000      1.329762114952E-02      3.527872629449E-03
    4.500000      1.173566858779E-02      3.109425536203E-03
    4.600000      1.026635323312E-02      2.716970392300E-03
    4.700000      9.165489577553E-03      2.408086295295E-03
    4.800000      8.623912575443E-03      2.217063092222E-03
    4.900000      8.594391395993E-03      2.150310251488E-03
    5.000000      8.924146491994E-03      2.187979543512E-03
    5.100000      9.440393925118E-03      2.290724844833E-03
    5.200000      9.963427751408E-03      2.409448825309E-03
    5.300000      1.032470832262E-02      2.495583951017E-03
    5.400000      1.039771233329E-02      2.509881694207E-03
    5.500000      1.011042112765E-02      2.428537084323E-03
    5.600000      9.451004628288E-03      2.246350576950E-03
    5.700000      8.465646346794E-03      1.977203379302E-03
    5.800000      7.257188802829E-03      1.652283885929E-03
    5.900000      5.977656418002E-03      1.316367217503E-03
    6.000000      4.816490615075E-03      1.022271650291E-03
    6.100000      3.984247435693E-03      8.236449089973E-04
    6.200000      3.682611525214E-03      7.665820228349E-04
    6.300000      4.055480571292E-03      8.811526708210E-04
    6.400000      5.181230174855E-03      1.174452240434E-03
    6.500000      6.907727471253E-03      1.626961409900E-03
    6.600000      8.982938316009E-03      2.193580602545E-03
    6.700000      1.114552192310E-02      2.809709363525E-03
    6.800000      1.314665957260E-02      3.401443737925E-03
    6.900000      1.477308907127E-02      3.897811116653E-03
    7.000000      1.586849129530E-02      4.242373212000E-03
    7.100000      1.634945122740E-02      4.401717803923E-03
    7.200000      1.620973331613E-02      4.369248679160E-03
    7.300000      1.551111995087E-02      4.163944573774E-03
    7.400000      1.437143709398E-02      3.824964692588E-03
    7.500000      1.294835788730E-02      3.403768871241E-03
    7.600000      1.141536020183E-02      2.955618854535E-03
    7.700000      9.935498809394E-03      2.531983147430E-03
