# M=26, N=13, V0=0.0, V=-0.15, PBC
#  time (tJ)                S₁(ℓ=13)                S₂(ℓ=13)
    0.000000      1.431091061804E+00      1.120032294311E+00
    0.100000      1.431168504761E+00      1.120203804895E+00
    0.200000      1.431379557552E+00      1.120689376617E+00
    0.300000      1.431672595209E+00      1.121408743565E+00
    0.400000      1.431995019412E+00      1.122248295738E+00
    0.500000      1.432318464681E+00      1.123085423780E+00
    0.600000      1.432639191113E+00      1.123812911646E+00
    0.700000      1.432962095048E+00      1.124357659229E+00
    0.800000      1.433289683887E+00      1.124690127814E+00
    0.900000      1.433621683908E+00      1.124823612792E+00
    1.000000      1.433960436536E+00      1.124804913468E+00
    1.100000      1.434314292212E+00      1.124699648491E+00
    1.200000      1.434695545845E+00      1.124576144406E+00
    1.300000      1.435115013162E+00      1.124491531260E+00
    1.400000      1.435577047822E+00      1.124482613040E+00
    1.500000      1.436077626772E+00      1.124562583633E+00
    1.600000      1.436606034473E+00      1.124723155328E+00
    1.700000      1.437148753408E+00      1.124940546730E+00
    1.800000      1.437693458129E+00      1.125183268217E+00
    1.900000      1.438231570656E+00      1.125419747686E+00
    2.000000      1.438758873099E+00      1.125624371226E+00
    2.100000      1.439274567795E+00      1.125781206097E+00
    2.200000      1.439779665529E+00      1.125885295918E+00
    2.300000      1.440275526498E+00      1.125941845203E+00
    2.400000      1.440762893720E+00      1.125963830676E+00
    2.500000      1.441241333698E+00      1.125968650722E+00
    2.600000      1.441708927001E+00      1.125974427112E+00
    2.700000      1.442162136322E+00      1.125996548294E+00
    2.800000      1.442595815055E+00      1.126044990071E+00
    2.900000      1.443003459015E+00      1.126122838031E+00
    3.000000      1.443378062197E+00      1.126226242893E+00
    3.100000      1.443713837419E+00      1.126345774126E+00
    3.200000      1.444008665329E+00      1.126468848541E+00
    3.300000      1.444266856303E+00      1.126582672673E+00
    3.400000      1.444501360622E+00      1.126677020426E+00
    3.500000      1.444733914516E+00      1.126746211249E+00
    3.600000      1.444991082976E+00      1.126789858474E+00
    3.700000      1.445294342106E+00      1.126812281064E+00
    3.800000      1.445645519502E+00      1.126820837240E+00
    3.900000      1.446016937256E+00      1.126823739150E+00
    4.000000      1.446357115823E+00      1.126828030722E+00
    4.100000      1.446608546545E+00      1.126838282470E+00
    4.200000      1.446726458921E+00      1.126856204318E+00
    4.300000      1.446692232704E+00      1.126880957654E+00
    4.400000      1.446517532786E+00      1.126909691869E+00
    4.500000      1.446237393018E+00      1.126937900912E+00
    4.600000      1.445895374242E+00      1.126959545821E+00
    4.700000      1.445528313267E+00      1.126967259029E+00
    4.800000      1.445158073608E+00      1.126953037352E+00
    4.900000      1.444792289182E+00      1.126909549650E+00
    5.000000      1.444430528575E+00      1.126831739289E+00
    5.100000      1.444070777632E+00      1.126718136051E+00
    5.200000      1.443711654827E+00      1.126571398660E+00
    5.300000      1.443351051217E+00      1.126397972577E+00
    5.400000      1.442985720163E+00      1.126207075047E+00
    5.500000      1.442613504810E+00      1.126009314801E+00
    5.600000      1.442235840022E+00      1.125815163277E+00
    5.700000      1.441857623353E+00      1.125633399394E+00
    5.800000      1.441484203102E+00      1.125469659735E+00
    5.900000      1.441118078938E+00      1.125325297275E+00
    6.000000      1.440758151796E+00      1.125196785460E+00
    6.100000      1.440401602230E+00      1.125075862456E+00
    6.200000      1.440046254957E+00      1.124950519501E+00
    6.300000      1.439691811849E+00      1.124806818523E+00
    6.400000      1.439339895050E+00      1.124631373181E+00
    6.500000      1.438993671651E+00      1.124414163681E+00
    6.600000      1.438657544446E+00      1.124151242173E+00
    6.700000      1.438336787252E+00      1.123846868525E+00
    6.800000      1.438037211888E+00      1.123514669971E+00
    6.900000      1.437765373079E+00      1.123177485890E+00
    7.000000      1.437529024768E+00      1.122865648547E+00
    7.100000      1.437336635616E+00      1.122613644211E+00
    7.200000      1.437195346495E+00      1.122455444619E+00
    7.300000      1.437108164464E+00      1.122419206692E+00
    7.400000      1.437072090144E+00      1.122522318073E+00
    7.500000      1.437078328481E+00      1.122767771610E+00
    7.600000      1.437114575946E+00      1.123142587812E+00
    7.700000      1.437168569532E+00      1.123618596519E+00
    7.800000      1.437231574756E+00      1.124155476008E+00
    7.900000      1.437300552668E+00      1.124705605763E+00
    8.000000      1.437378077598E+00      1.125220036585E+00
    8.100000      1.437470002434E+00      1.125654722669E+00
    8.200000      1.437582263107E+00      1.125976109160E+00
    8.300000      1.437718580076E+00      1.126165244248E+00
    8.400000      1.437879799263E+00      1.126219793225E+00
    8.500000      1.438064608146E+00      1.126153655636E+00
    8.600000      1.438271001895E+00      1.125994280003E+00
    8.700000      1.438497757299E+00      1.125778160080E+00
    8.800000      1.438745015869E+00      1.125545294392E+00
    8.900000      1.439013511380E+00      1.125333527738E+00
    9.000000      1.439303132380E+00      1.125173653367E+00
    9.100000      1.439612127624E+00      1.125085975519E+00
    9.200000      1.439937275554E+00      1.125078765620E+00
    9.300000      1.440273840360E+00      1.125148718921E+00
    9.400000      1.440614931313E+00      1.125283150541E+00
    9.500000      1.440951822643E+00      1.125463323504E+00
    9.600000      1.441275799968E+00      1.125668095000E+00
    9.700000      1.441580496438E+00      1.125877104514E+00
    9.800000      1.441863588967E+00      1.126073004384E+00
    9.900000      1.442127108002E+00      1.126242623367E+00
   10.000000      1.442376167961E+00      1.126377288643E+00
   10.100000      1.442616688107E+00      1.126472695588E+00
   10.200000      1.442853549142E+00      1.126528679587E+00
   10.300000      1.443090745456E+00      1.126549054265E+00
   10.400000      1.443333436160E+00      1.126541430749E+00
   10.500000      1.443589479558E+00      1.126516744924E+00
   10.600000      1.443867659117E+00      1.126488196815E+00
   10.700000      1.444172735715E+00      1.126469475568E+00
   10.800000      1.444501282541E+00      1.126472438693E+00
   10.900000      1.444841083560E+00      1.126504710532E+00
   11.000000      1.445172771009E+00      1.126567837196E+00
   11.100000      1.445472234652E+00      1.126656603584E+00
   11.200000      1.445713847328E+00      1.126759870899E+00
   11.300000      1.445874568396E+00      1.126862891347E+00
   11.400000      1.445938513595E+00      1.126950613057E+00
   11.500000      1.445901221420E+00      1.127011134256E+00
   11.600000      1.445772116346E+00      1.127038324814E+00
   11.700000      1.445573101895E+00      1.127032795885E+00
   11.800000      1.445332357029E+00      1.127000872498E+00
   11.900000      1.445075421648E+00      1.126951878723E+00
   12.000000      1.444818424388E+00      1.126894625207E+00
   12.100000      1.444567368445E+00      1.126834242361E+00
   12.200000      1.444322550546E+00      1.126770336709E+00
   12.300000      1.444083651076E+00      1.126696973622E+00
   12.400000      1.443851276475E+00      1.126604419565E+00
   12.500000      1.443623789888E+00      1.126482091917E+00
   12.600000      1.443394557556E+00      1.126321864491E+00
   12.700000      1.443155122530E+00      1.126120809841E+00
   12.800000      1.442900256780E+00      1.125882639121E+00
   12.900000      1.442630382241E+00      1.125617482984E+00
   13.000000      1.442350950736E+00      1.125340126205E+00
   13.100000      1.442069822481E+00      1.125067213682E+00
   13.200000      1.441794190077E+00      1.124814168448E+00
   13.300000      1.441528481241E+00      1.124592561703E+00
   13.400000      1.441273963768E+00      1.124408485316E+00
   13.500000      1.441029820631E+00      1.124262182907E+00
   13.600000      1.440794853401E+00      1.124148894932E+00
   13.700000      1.440568972916E+00      1.124060642736E+00
   13.800000      1.440354028951E+00      1.123988548082E+00
   13.900000      1.440154055503E+00      1.123925247109E+00
   14.000000      1.439974937787E+00      1.123866980035E+00
   14.100000      1.439822987902E+00      1.123814993737E+00
   14.200000      1.439702580153E+00      1.123775974157E+00
   14.300000      1.439614269392E+00      1.123761336760E+00
   14.400000      1.439554699304E+00      1.123785360316E+00
   14.500000      1.439518194858E+00      1.123862356995E+00
   14.600000      1.439498898944E+00      1.124003309159E+00
   14.700000      1.439492404151E+00      1.124212616733E+00
   14.800000      1.439496307907E+00      1.124485711237E+00
   14.900000      1.439509648300E+00      1.124808226661E+00
   15.000000      1.439531909713E+00      1.125157134743E+00
   15.100000      1.439562697467E+00      1.125503789454E+00
   15.200000      1.439602660579E+00      1.125818308274E+00
   15.300000      1.439654875933E+00      1.126074325982E+00
   15.400000      1.439724942051E+00      1.126253046189E+00
   15.500000      1.439818793106E+00      1.126345738064E+00
   15.600000      1.439939220252E+00      1.126354294059E+00
   15.700000      1.440083632463E+00      1.126289993402E+00
   15.800000      1.440245080111E+00      1.126171009348E+00
   15.900000      1.440415965166E+00      1.126019340609E+00
   16.000000      1.440591556894E+00      1.125857751520E+00
   16.100000      1.440770650988E+00      1.125707089355E+00
   16.200000      1.440953367436E+00      1.125584155665E+00
   16.300000      1.441138620054E+00      1.125500224380E+00
   16.400000      1.441323703383E+00      1.125460304329E+00
   16.500000      1.441506167634E+00      1.125463254584E+00
   16.600000      1.441685845277E+00      1.125502807419E+00
   16.700000      1.441864999103E+00      1.125569424099E+00
   16.800000      1.442046781783E+00      1.125652734086E+00
   16.900000      1.442233720519E+00      1.125744123750E+00
   17.000000      1.442427376988E+00      1.125838886395E+00
   17.100000      1.442628811851E+00      1.125937295591E+00
   17.200000      1.442838978556E+00      1.126044113967E+00
   17.300000      1.443059051491E+00      1.126166438214E+00
   17.400000      1.443291230884E+00      1.126310318574E+00
   17.500000      1.443539080304E+00      1.126477084063E+00
   17.600000      1.443806063857E+00      1.126660554853E+00
   17.700000      1.444092905208E+00      1.126846212860E+00
   17.800000      1.444395604903E+00      1.127012921229E+00
   17.900000      1.444704892257E+00      1.127137043112E+00
   18.000000      1.445005822735E+00      1.127198039827E+00
   18.100000      1.445276630322E+00      1.127184109604E+00
   18.200000      1.445490004858E+00      1.127096340711E+00
   18.300000      1.445619961457E+00      1.126950171543E+00
   18.400000      1.445651441577E+00      1.126773518905E+00
   18.500000      1.445587158447E+00      1.126601642086E+00
   18.600000      1.445447679049E+00      1.126469626537E+00
   18.700000      1.445264060035E+00      1.126404189345E+00
   18.800000      1.445066477291E+00      1.126417006234E+00
   18.900000      1.444874652845E+00      1.126501551091E+00
   19.000000      1.444694743201E+00      1.126634431659E+00
   19.100000      1.444523153607E+00      1.126780782202E+00
   19.200000      1.444353417413E+00      1.126902076370E+00
   19.300000      1.444181216066E+00      1.126964217385E+00
   19.400000      1.444005318730E+00      1.126943989176E+00
   19.500000      1.443825902834E+00      1.126832629916E+00
   19.600000      1.443643088519E+00      1.126636095430E+00
   19.700000      1.443456995378E+00      1.126372324143E+00
   19.800000      1.443268449748E+00      1.126066416973E+00
   19.900000      1.443078854945E+00      1.125745033925E+00
   20.000000      1.442888928157E+00      1.125431392535E+00
   20.100000      1.442697668907E+00      1.125141980182E+00
   20.200000      1.442503147492E+00      1.124885522381E+00
   20.300000      1.442304987185E+00      1.124664061056E+00
   20.400000      1.442106695283E+00      1.124475422846E+00
   20.500000      1.441915905315E+00      1.124316084973E+00
   20.600000      1.441741951314E+00      1.124183535801E+00
   20.700000      1.441591920009E+00      1.124077588030E+00
   20.800000      1.441467441897E+00      1.124000543629E+00
   20.900000      1.441364456302E+00      1.123956445994E+00
   21.000000      1.441276447307E+00      1.123949805812E+00
   21.100000      1.441199000835E+00      1.123984195421E+00
   21.200000      1.441132477270E+00      1.124061061034E+00
   21.300000      1.441081113652E+00      1.124179040542E+00
   21.400000      1.441049397668E+00      1.124333961192E+00
   21.500000      1.441038201354E+00      1.124519493523E+00
   21.600000      1.441043072402E+00      1.124728207101E+00
   21.700000      1.441055511691E+00      1.124952629307E+00
   21.800000      1.441066466302E+00      1.125185935595E+00
   21.900000      1.441070414328E+00      1.125422073120E+00
   22.000000      1.441067710285E+00      1.125655338292E+00
   22.100000      1.441063752158E+00      1.125879609388E+00
   22.200000      1.441065684035E+00      1.126087554445E+00
   22.300000      1.441078938819E+00      1.126270187521E+00
   22.400000      1.441105906931E+00      1.126417103027E+00
   22.500000      1.441147040570E+00      1.126517549450E+00
   22.600000      1.441202516147E+00      1.126562243905E+00
   22.700000      1.441272545222E+00      1.126545576317E+00
