# M=24, N=12, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000      2.398081733190E-14     -1.776356839400E-15
    0.100000      1.103513438236E-03      1.984637891068E-04
    0.200000      3.702402433193E-03      7.574054635713E-04
    0.300000      7.120604879135E-03      1.576194106899E-03
    0.400000      1.075282922774E-02      2.513721861267E-03
    0.500000      1.407238119794E-02      3.420520395313E-03
    0.600000      1.668931055136E-02      4.170649406523E-03
    0.700000      1.839081457244E-02      4.685277259991E-03
    0.800000      1.915054158743E-02      4.942749110813E-03
    0.900000      1.910595592754E-02      4.974088674660E-03
    1.000000      1.851026455842E-02      4.846935513093E-03
    1.100000      1.766901567535E-02      4.643658819237E-03
    1.200000      1.687074157823E-02      4.440128753757E-03
    1.300000      1.632107765976E-02      4.290396322722E-03
    1.400000      1.610254578133E-02      4.219986572371E-03
    1.500000      1.618624309959E-02      4.227633517138E-03
    1.600000      1.647486267291E-02      4.293020601152E-03
    1.700000      1.684851784245E-02      4.387021420879E-03
    1.800000      1.719970657823E-02      4.481144879190E-03
    1.900000      1.745401231167E-02      4.554018739668E-03
    2.000000      1.757710463482E-02      4.594206942981E-03
    2.100000      1.757069662167E-02      4.599887228847E-03
    2.200000      1.746208781638E-02      4.576579311361E-03
    2.300000      1.729195913296E-02      4.534168723357E-03
    2.400000      1.710330008633E-02      4.484112799115E-03
    2.500000      1.693418562050E-02      4.437235059196E-03
    2.600000      1.681323727069E-02      4.402154576194E-03
    2.700000      1.675650241286E-02      4.384260160414E-03
    2.800000      1.676679329548E-02      4.385181852943E-03
    2.900000      1.683448923904E-02      4.402806955289E-03
    3.000000      1.693870977327E-02      4.431911893583E-03
    3.100000      1.705169876391E-02      4.465384112779E-03
    3.200000      1.714746203046E-02      4.495829829960E-03
    3.300000      1.720963134966E-02      4.517201588003E-03
    3.400000      1.723442454356E-02      4.526029860427E-03
    3.500000      1.722677872588E-02      4.521945777416E-03
    3.600000      1.719416610799E-02      4.507402076505E-03
    3.700000      1.714513380013E-02      4.486746076191E-03
    3.800000      1.708982120848E-02      4.464973095641E-03
    3.900000      1.703846974872E-02      4.446531848032E-03
    4.000000      1.699974811551E-02      4.434468168671E-03
    4.100000      1.698055253726E-02      4.430035694120E-03
    4.200000      1.698627789642E-02      4.432745425416E-03
    4.300000      1.701894712763E-02      4.440725002086E-03
    4.400000      1.707191830655E-02      4.451228745597E-03
    4.500000      1.712886717639E-02      4.461162593963E-03
    4.600000      1.717166540630E-02      4.467531321719E-03
    4.700000      1.718688248291E-02      4.467752874242E-03
    4.800000      1.716739694346E-02      4.459807136083E-03
    4.900000      1.711148191460E-02      4.442200306972E-03
    5.000000      1.702058925333E-02      4.413744380639E-03
    5.100000      1.689605076586E-02      4.373183853267E-03
    5.200000      1.673513006241E-02      4.318747796599E-03
    5.300000      1.652846421964E-02      4.247751092558E-03
    5.400000      1.626004309719E-02      4.156392740049E-03
    5.500000      1.590879443288E-02      4.039884096037E-03
    5.600000      1.545162671911E-02      3.892982419572E-03
    5.700000      1.486733810689E-02      3.710919425084E-03
    5.800000      1.414063154971E-02      3.490625702574E-03
    5.900000      1.326631818875E-02      3.232083084005E-03
    6.000000      1.225359142186E-02      2.939599866433E-03
    6.100000      1.112977259895E-02      2.622796030415E-03
    6.200000      9.943810553914E-03      2.297097149621E-03
    6.300000      8.769740324267E-03      1.983558201159E-03
    6.400000      7.708463788381E-03      1.707873014062E-03
    6.500000      6.884212558274E-03      1.498483656618E-03
    6.600000      6.428059656934E-03      1.383803190026E-03
    6.700000      6.446766339334E-03      1.388713627335E-03
    6.800000      6.995522437228E-03      1.530687344732E-03
    6.900000      8.069665627199E-03      1.816068299973E-03
    7.000000      9.609383272829E-03      2.237184124888E-03
    7.100000      1.150663212986E-02      2.770983529146E-03
    7.200000      1.361523000008E-02      3.379764506547E-03
    7.300000      1.576533852466E-02      4.014270272762E-03
    7.400000      1.777934388905E-02      4.619016259905E-03
    7.500000      1.948893945364E-02      5.139246478678E-03
    7.600000      2.075412030314E-02      5.528500462963E-03
    7.700000      2.148123899703E-02      5.755506973649E-03
    7.800000      2.163598603102E-02      5.809092544046E-03
    7.900000      2.124922460380E-02      5.700044634724E-03
    8.000000      2.041509223357E-02      5.459384010916E-03
    8.100000      1.928052959024E-02      5.133195407570E-03
    8.200000      1.802564709586E-02      4.774896743631E-03
    8.300000      1.683640119939E-02      4.436419388904E-03
    8.400000      1.587321792421E-02      4.160060339837E-03
    8.500000      1.524183306438E-02      3.972648143742E-03
    8.600000      1.497578196761E-02      3.883136972006E-03
    8.700000      1.503922848690E-02      3.883922897748E-03
    8.800000      1.534839465674E-02      3.955273037953E-03
    8.900000      1.580007365342E-02      4.071520360144E-03
    9.000000      1.629752352283E-02      4.207318110176E-03
    9.100000      1.676808620380E-02      4.342376939603E-03
    9.200000      1.717009728979E-02      4.463687654060E-03
    9.300000      1.748976742103E-02      4.565082637468E-03
    9.400000      1.773068874016E-02      4.644837389227E-03
    9.500000      1.790053825843E-02      4.702583731762E-03
    9.600000      1.800050240199E-02      4.736911713284E-03
    9.700000      1.802161932311E-02      4.744649578652E-03
    9.800000      1.794915559185E-02      4.722074037692E-03
    9.900000      1.777264143950E-02      4.667484897715E-03
   10.000000      1.749710550140E-02      4.583978776087E-03
   10.100000      1.715094733255E-02      4.481100245027E-03
   10.200000      1.678660407658E-02      4.374401611861E-03
   10.300000      1.647200119047E-02      4.282685554667E-03
   10.400000      1.627376045747E-02      4.223572853441E-03
   10.500000      1.623686844592E-02      4.208712946733E-03
   10.600000      1.636901231005E-02      4.240183950297E-03
   10.700000      1.663684096898E-02      4.309315969393E-03
   10.800000      1.697482452057E-02      4.398418811565E-03
   10.900000      1.730194736775E-02      4.484965477149E-03
   11.000000      1.754048258768E-02      4.547002904522E-03
   11.100000      1.763277318154E-02      4.568200745233E-03
   11.200000      1.755270896239E-02      4.541120876671E-03
   11.300000      1.730851628356E-02      4.467914519847E-03
   11.400000      1.693644637116E-02      4.358491989477E-03
   11.500000      1.648828034295E-02      4.226960759013E-03
   11.600000      1.601687794133E-02      4.087541298007E-03
   11.700000      1.556365718279E-02      3.951140665157E-03
   11.800000      1.515044265890E-02      3.823358702806E-03
   11.900000      1.477674299000E-02      3.704122527376E-03
   12.000000      1.442263258783E-02      3.588635477113E-03
   12.100000      1.405585666920E-02      3.469068445962E-03
   12.200000      1.363996398986E-02      3.336462973537E-03
   12.300000      1.314090263659E-02      3.182562244764E-03
   12.400000      1.253233381734E-02      3.001556110018E-03
   12.500000      1.180166415551E-02      2.791843092164E-03
   12.600000      1.095806964484E-02      2.557795635778E-03
   12.700000      1.004120874735E-02      2.311223887738E-03
   12.800000      9.126967084375E-03      2.071942597042E-03
   12.900000      8.325535737240E-03      1.866760819743E-03
   13.000000      7.767494182842E-03      1.726465902125E-03
   13.100000      7.577837458474E-03      1.680941059468E-03
   13.200000      7.845745255946E-03      1.753257921367E-03
   13.300000      8.600900680565E-03      1.954144253439E-03
   13.400000      9.803454714830E-03      2.278384591269E-03
   13.500000      1.135023356000E-02      2.704344205474E-03
   13.600000      1.309446475325E-02      3.196990492250E-03
   13.700000      1.487338469889E-02      3.713779425448E-03
   13.800000      1.653658616002E-02      4.211926041092E-03
   13.900000      1.796802330908E-02      4.655189729203E-03
   14.000000      1.909784770287E-02      5.018515841559E-03
   14.100000      1.990350684426E-02      5.289604960535E-03
   14.200000      2.040158507389E-02      5.467464486783E-03
   14.300000      2.063302888744E-02      5.558886652897E-03
   14.400000      2.064485630985E-02      5.574295676309E-03
   14.500000      2.047379813163E-02      5.524375265283E-03
   14.600000      2.014102605866E-02      5.418386807360E-03
   14.700000      1.965866803019E-02      5.264342796721E-03
   14.800000      1.904073699448E-02      5.070500620609E-03
   14.900000      1.831312864671E-02      4.847230366275E-03
   15.000000      1.751900583540E-02      4.608292186644E-03
   15.100000      1.671797750583E-02      4.370880546216E-03
   15.200000      1.597959762332E-02      4.154287320600E-03
   15.300000      1.537333130298E-02      3.977506719044E-03
   15.400000      1.495797952813E-02      3.856405766993E-03
   15.500000      1.477291236409E-02      3.801159196807E-03
   15.600000      1.483157103463E-02      3.814527697082E-03
   15.700000      1.511755875760E-02      3.891323868735E-03
   15.800000      1.558550842474E-02      4.019146787718E-03
   15.900000      1.616804714384E-02      4.180233157533E-03
   16.000000      1.678720916537E-02      4.354094083664E-03
   16.100000      1.736765719397E-02      4.520482093310E-03
   16.200000      1.784863424801E-02      4.662165328645E-03
   16.300000      1.819148532704E-02      4.766995444111E-03
   16.400000      1.838153148645E-02      4.828874880884E-03
   16.500000      1.842498158525E-02      4.847471843830E-03
   16.600000      1.834244062941E-02      4.826860198172E-03
   16.700000      1.816085564417E-02      4.773579464488E-03
   16.800000      1.790591523825E-02      4.694790063259E-03
   16.900000      1.759724452834E-02      4.597142308980E-03
   17.000000      1.724863679025E-02      4.486671114314E-03
   17.100000      1.687332025495E-02      4.369567989820E-03
   17.200000      1.649092585565E-02      4.253247364123E-03
   17.300000      1.613200838199E-02      4.146909620923E-03
   17.400000      1.583712629262E-02      4.060931586566E-03
   17.500000      1.564887315577E-02      4.004873915910E-03
   17.600000      1.559728055839E-02      3.984524570241E-03
   17.700000      1.568359696620E-02      3.998945978002E-03
   17.800000      1.587198392178E-02      4.038715759452E-03
   17.900000      1.609386257113E-02      4.086315862042E-03
   18.000000      1.626186494698E-02      4.118979206667E-03
   18.100000      1.628889889645E-02      4.113463520261E-03
   18.200000      1.610770737522E-02      4.051497818746E-03
   18.300000      1.568600978993E-02      3.924319582420E-03
   18.400000      1.503361030036E-02      3.734932006214E-03
   18.500000      1.420004815253E-02      3.497403128699E-03
   18.600000      1.326363662288E-02      3.233462318959E-03
   18.700000      1.231468253970E-02      2.967492203055E-03
   18.800000      1.143686943851E-02      2.721467569635E-03
   18.900000      1.069152285446E-02      2.511306320714E-03
   19.000000      1.011011572064E-02      2.345521798773E-03
   19.100000      9.698208887935E-03      2.226228070331E-03
   19.200000      9.447363297324E-03      2.151762324043E-03
   19.300000      9.347464852412E-03      2.119729036188E-03
   19.400000      9.394613834231E-03      2.129280528973E-03
   19.500000      9.593181784887E-03      2.181887969655E-03
   19.600000      9.952171225549E-03      2.280528575019E-03
   19.700000      1.047770515047E-02      2.427846783272E-03
   19.800000      1.116534944335E-02      2.624199473514E-03
   19.900000      1.199645514562E-02      2.866450123665E-03
   20.000000      1.294028383029E-02      3.147977706828E-03
   20.100000      1.396033028073E-02      3.459793580210E-03
   20.200000      1.502174480245E-02      3.792155116813E-03
   20.300000      1.609690154781E-02      4.135836017703E-03
   20.400000      1.716685511592E-02      4.482356617368E-03
   20.500000      1.821740130655E-02      4.822944872959E-03
   20.600000      1.922998471285E-02      5.146615487328E-03
   20.700000      2.016939642440E-02      5.438280790010E-03
   20.800000      2.097407333266E-02      5.678021209760E-03
   20.900000      2.155877958491E-02      5.842423618918E-03
   21.000000      2.183187231433E-02      5.908271799179E-03
   21.100000      2.171894548305E-02      5.858026953506E-03
   21.200000      2.118500482572E-02      5.685749747837E-03
   21.300000      2.025072044947E-02      5.401678186960E-03
   21.400000      1.899962163938E-02      5.033782263947E-03
   21.500000      1.757393765448E-02      4.625290604108E-03
   21.600000      1.615804909026E-02      4.228257638270E-03
   21.700000      1.494982784659E-02      3.894395304164E-03
   21.800000      1.412183370636E-02      3.665265925429E-03
   21.900000      1.377941486093E-02      3.564233872254E-03
   22.000000      1.393136565799E-02      3.592192535078E-03
   22.100000      1.448970248043E-02      3.728128126286E-03
   22.200000      1.529866167828E-02      3.934340477962E-03
   22.300000      1.617763543843E-02      4.164979806502E-03
   22.400000      1.696166121959E-02      4.375800953142E-03
   22.500000      1.753069302307E-02      4.532865228989E-03
   22.600000      1.782561812013E-02      4.618331799358E-03
   22.700000      1.785138922200E-02      4.632307139384E-03
   22.800000      1.766871039429E-02      4.590699853262E-03
   22.900000      1.737669643417E-02      4.519895965533E-03
   23.000000      1.708935283937E-02      4.449643021355E-03
   23.100000      1.690881516136E-02      4.405742895011E-03
   23.200000      1.689940072980E-02      4.404038778413E-03
   23.300000      1.706994352249E-02      4.446831808878E-03
   23.400000      1.737216603358E-02      4.522371098942E-03
   23.500000      1.771478745231E-02      4.607497515283E-03
   23.600000      1.798663677645E-02      4.672937613689E-03
   23.700000      1.808233984752E-02      4.690198280095E-03
   23.800000      1.792612040669E-02      4.638594619560E-03
   23.900000      1.749007701977E-02      4.510773145965E-03
   24.000000      1.680352797308E-02      4.315282589554E-03
   24.100000      1.595080187647E-02      4.075340833486E-03
   24.200000      1.505626886942E-02      3.823868280181E-03
   24.300000      1.425708743666E-02      3.595883676955E-03
   24.400000      1.366721324538E-02      3.420175234623E-03
   24.500000      1.334445395004E-02      3.312471637667E-03
   24.600000      1.327668779883E-02      3.271988127225E-03
   24.700000      1.339125515131E-02      3.282277301411E-03
   24.800000      1.357908615357E-02      3.316056332538E-03
