# M=22, N=11, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000      6.217248937901E-15      8.881784197001E-16
    0.100000      2.726935765014E-03      5.396561294981E-04
    0.200000      9.020737507621E-03      2.058901554689E-03
    0.300000      1.717507010614E-02      4.281951422866E-03
    0.400000      2.572537700783E-02      6.820717978091E-03
    0.500000      3.342479665120E-02      9.261749753684E-03
    0.600000      3.935997754968E-02      1.125360933107E-02
    0.700000      4.303364755638E-02      1.257311309649E-02
    0.800000      4.438438946214E-02      1.315598238844E-02
    0.900000      4.374117743822E-02      1.308800223643E-02
    1.000000      4.172383295902E-02      1.256340362916E-02
    1.100000      3.910770551575E-02      1.182484076319E-02
    1.200000      3.666631797971E-02      1.110218124544E-02
    1.300000      3.498965696766E-02      1.056513714108E-02
    1.400000      3.432537903736E-02      1.029882499031E-02
    1.500000      3.458905495734E-02      1.030389134948E-02
    1.600000      3.548825154949E-02      1.051624814417E-02
    1.700000      3.665568996072E-02      1.083746103974E-02
    1.800000      3.775612592886E-02      1.116606276591E-02
    1.900000      3.855036026559E-02      1.142205762716E-02
    2.000000      3.891997572192E-02      1.156044671538E-02
    2.100000      3.886188702758E-02      1.157335368379E-02
    2.200000      3.846526564077E-02      1.148318774169E-02
    2.300000      3.787575675074E-02      1.133072604748E-02
    2.400000      3.725558832877E-02      1.116207514066E-02
    2.500000      3.674702041940E-02      1.101759465173E-02
    2.600000      3.644498897203E-02      1.092457056170E-02
    2.700000      3.638353521150E-02      1.089416270330E-02
    2.800000      3.654249109127E-02      1.092219352074E-02
    2.900000      3.686504487935E-02      1.099277703695E-02
    3.000000      3.727073014172E-02      1.108355912465E-02
    3.100000      3.766193105051E-02      1.117134348701E-02
    3.200000      3.794557502340E-02      1.123701353889E-02
    3.300000      3.806336878297E-02      1.126888411533E-02
    3.400000      3.800581072089E-02      1.126393737032E-02
    3.500000      3.781137154462E-02      1.122682962667E-02
    3.600000      3.755552050075E-02      1.116705876705E-02
    3.700000      3.732423461255E-02      1.109512786645E-02
    3.800000      3.716080733826E-02      1.101876086408E-02
    3.900000      3.704514974243E-02      1.094011072569E-02
    4.000000      3.692371085222E-02      1.085449052960E-02
    4.100000      3.673251309599E-02      1.075064424341E-02
    4.200000      3.641255167791E-02      1.061219094101E-02
    4.300000      3.591809107971E-02      1.041975937464E-02
    4.400000      3.521327780789E-02      1.015344556880E-02
    4.500000      3.425664237121E-02      9.795422524710E-03
    4.600000      3.299683393286E-02      9.332659415836E-03
    4.700000      3.138955883035E-02      8.759712604662E-03
    4.800000      2.941800309218E-02      8.081469517310E-03
    4.900000      2.711000813734E-02      7.315620753619E-03
    5.000000      2.454958538973E-02      6.494533206633E-03
    5.100000      2.188353728880E-02      5.666089448216E-03
    5.200000      1.932461233163E-02      4.892948255730E-03
    5.300000      1.714772251714E-02      4.249620833036E-03
    5.400000      1.566433693136E-02      3.816846463547E-03
    5.500000      1.516317931174E-02      3.673084991707E-03
    5.600000      1.584770385267E-02      3.883546027819E-03
    5.700000      1.779670970649E-02      4.487957731385E-03
    5.800000      2.094628904563E-02      5.489045953351E-03
    5.900000      2.509985535272E-02      6.844197108739E-03
    6.000000      2.994280365805E-02      8.462787912769E-03
    6.100000      3.506080727186E-02      1.021105215381E-02
    6.200000      3.998523573773E-02      1.192513737029E-02
    6.300000      4.425022566988E-02      1.343136596914E-02
    6.400000      4.744566077635E-02      1.457098418702E-02
    6.500000      4.926625360117E-02      1.522527369816E-02
    6.600000      4.955453082543E-02      1.533622411033E-02
    6.700000      4.832930019411E-02      1.491830915325E-02
    6.800000      4.579394489908E-02      1.405833737773E-02
    6.900000      4.232341622635E-02      1.290263677746E-02
    7.000000      3.842834195672E-02      1.163349574306E-02
    7.100000      3.469503147271E-02      1.043917958034E-02
    7.200000      3.169904747356E-02      9.483347376110E-03
    7.300000      2.988509398052E-02      8.879879931769E-03
    7.400000      2.943593681005E-02      8.677901710307E-03
    7.500000      3.023941943322E-02      8.859427775988E-03
    7.600000      3.198072648991E-02      9.349201198664E-03
    7.700000      3.425051616210E-02      1.003366998784E-02
    7.800000      3.663185366022E-02      1.078436698999E-02
    7.900000      3.876555234644E-02      1.148058375260E-02
    8.000000      4.038977206843E-02      1.202713695382E-02
    8.100000      4.135621638099E-02      1.236480115579E-02
    8.200000      4.162785169752E-02      1.247300400847E-02
    8.300000      4.126308707763E-02      1.236605060611E-02
    8.400000      4.039166532580E-02      1.208507826614E-02
    8.500000      3.918726927027E-02      1.168806433046E-02
    8.600000      3.784109645314E-02      1.123972108550E-02
