# M=22, N=11, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      4.440892098501E-16     -8.881784197001E-16
    0.100000      4.458888899550E-04      8.095466781022E-05
    0.200000      1.493968347983E-03      3.089424659657E-04
    0.300000      2.870438914452E-03      6.428903516236E-04
    0.400000      4.331222168660E-03      1.025198793485E-03
    0.500000      5.664546941691E-03      1.394851185210E-03
    0.600000      6.714029334881E-03      1.700439568404E-03
    0.700000      7.394631632249E-03      1.909804408825E-03
    0.800000      7.696150948145E-03      2.014154199967E-03
    0.900000      7.673913528510E-03      2.026226774980E-03
    1.000000      7.429293884734E-03      1.973717328954E-03
    1.100000      7.084493900039E-03      1.890323555467E-03
    1.200000      6.756026047099E-03      1.807062266647E-03
    1.300000      6.528383936187E-03      1.746006102394E-03
    1.400000      6.435459601643E-03      1.717544469020E-03
    1.500000      6.465450698017E-03      1.721096214812E-03
    1.600000      6.579228682776E-03      1.748277914885E-03
    1.700000      6.728594543279E-03      1.787096930720E-03
    1.800000      6.870324426276E-03      1.825823936676E-03
    1.900000      6.974295100824E-03      1.855658784251E-03
    2.000000      7.025998004961E-03      1.871897791772E-03
    2.100000      7.024918912312E-03      1.873812425526E-03
    2.200000      6.980719722371E-03      1.863721778949E-03
    2.300000      6.908960638591E-03      1.845766479138E-03
    2.400000      6.827364422397E-03      1.824748045837E-03
    2.500000      6.752788064985E-03      1.805203644444E-03
    2.600000      6.698689064524E-03      1.790740265213E-03
    2.700000      6.673163861844E-03      1.783596532750E-03
    2.800000      6.677956024591E-03      1.784416853585E-03
    2.900000      6.708736250532E-03      1.792259521556E-03
    3.000000      6.756633168933E-03      1.804867902147E-03
    3.100000      6.810490068957E-03      1.819191864480E-03
    3.200000      6.859238105895E-03      1.832072044784E-03
    3.300000      6.894004354942E-03      1.840932357390E-03
    3.400000      6.909643075474E-03      1.844305302200E-03
    3.500000      6.905405794610E-03      1.842056433841E-03
    3.600000      6.884635013675E-03      1.835264928523E-03
    3.700000      6.853624613486E-03      1.825820392133E-03
    3.800000      6.819977992882E-03      1.815871891574E-03
    3.900000      6.790850858211E-03      1.807288174910E-03
    4.000000      6.771453420992E-03      1.801256856615E-03
    4.100000      6.764091443725E-03      1.798085231759E-03
    4.200000      6.767769831841E-03      1.797196201514E-03
    4.300000      6.778234910824E-03      1.797264655760E-03
    4.400000      6.788484387296E-03      1.796423316923E-03
    4.500000      6.789788154931E-03      1.792477727096E-03
    4.600000      6.772963825516E-03      1.783093787544E-03
    4.700000      6.729498180810E-03      1.765944151404E-03
    4.800000      6.652232708191E-03      1.738814943745E-03
    4.900000      6.535441619537E-03      1.699683143611E-03
    5.000000      6.374209582548E-03      1.646783109011E-03
    5.100000      6.163461889417E-03      1.578691678938E-03
    5.200000      5.897709808518E-03      1.494472144932E-03
    5.300000      5.572310134443E-03      1.393919104348E-03
    5.400000      5.185885737130E-03      1.277928452620E-03
    5.500000      4.743120607909E-03      1.148974745400E-03
    5.600000      4.257315526883E-03      1.011617729882E-03
    5.700000      3.752277802756E-03      8.728980726653E-04
    5.800000      3.263479847115E-03      7.424427317639E-04
    5.900000      2.838316818615E-03      6.321048514026E-04
    6.000000      2.533590603936E-03      5.550232804632E-04
    6.100000      2.406997609733E-03      5.240992493625E-04
    6.200000      2.502979641980E-03      5.500327432229E-04
    6.300000      2.839367598623E-03      6.392066837106E-04
    6.400000      3.402502666581E-03      7.918156459623E-04
    6.500000      4.152523853147E-03      1.000672867434E-03
    6.600000      5.028345422105E-03      1.251071740961E-03
    6.700000      5.951812431067E-03      1.521921885340E-03
    6.800000      6.837918492231E-03      1.788144754403E-03
    6.900000      7.606652777695E-03      2.024042014894E-03
    7.000000      8.192062659872E-03      2.207100644824E-03
    7.100000      8.549163724773E-03      2.321535841891E-03
    7.200000      8.659615029071E-03      2.360849933317E-03
