# M=22, N=11, V0=0.0, V=-0.25, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      8.881784197001E-16     -1.332267629550E-15
    0.100000      1.123652380950E-03      2.248591379925E-04
    0.200000      3.710845946195E-03      8.579568750946E-04
    0.300000      7.058635021236E-03      1.784884046915E-03
    0.400000      1.057103153497E-02      2.845540486332E-03
    0.500000      1.374841299667E-02      3.870938549711E-03
    0.600000      1.623328256663E-02      4.719548122928E-03
    0.700000      1.784021614891E-02      5.303861639362E-03
    0.800000      1.855829389882E-02      5.601270413194E-03
    0.900000      1.852607016284E-02      5.648226834373E-03
    1.000000      1.798505161154E-02      5.521384924512E-03
    1.100000      1.722103562766E-02      5.312516420781E-03
    1.200000      1.650213365374E-02      5.104706694961E-03
    1.300000      1.601716317332E-02      4.955729854736E-03
    1.400000      1.583576907554E-02      4.891419829760E-03
    1.500000      1.592370859831E-02      4.908499126673E-03
    1.600000      1.618788059470E-02      4.983805011472E-03
    1.700000      1.651925822016E-02      5.085800330618E-03
    1.800000      1.682416009363E-02      5.184696649896E-03
    1.900000      1.704066228815E-02      5.258964977972E-03
    2.000000      1.714175804630E-02      5.297738485918E-03
    2.100000      1.712965603387E-02      5.299965981073E-03
    2.200000      1.702631795049E-02      5.271793973943E-03
    2.300000      1.686437815920E-02      5.223546169333E-03
    2.400000      1.668035162632E-02      5.167120272419E-03
    2.500000      1.650971005423E-02      5.114017790543E-03
    2.600000      1.638246660736E-02      5.073856000695E-03
    2.700000      1.631881566450E-02      5.053174526516E-03
    2.800000      1.632571605925E-02      5.054537968945E-03
    2.900000      1.639576560949E-02      5.076146605273E-03
    3.000000      1.650936668383E-02      5.112221441490E-03
    3.100000      1.663975920404E-02      5.154267869147E-03
    3.200000      1.675931770502E-02      5.193019747296E-03
    3.300000      1.684551689137E-02      5.220580836608E-03
    3.400000      1.688525827851E-02      5.232163107381E-03
    3.500000      1.687662903405E-02      5.226936218241E-03
    3.600000      1.682789299027E-02      5.207801302368E-03
    3.700000      1.675435470921E-02      5.180254791918E-03
    3.800000      1.667422591444E-02      5.150769512742E-03
    3.900000      1.660459253989E-02      5.125199054608E-03
    4.000000      1.655827837188E-02      5.107604124304E-03
    4.100000      1.654206961959E-02      5.099680722931E-03
    4.200000      1.655625315589E-02      5.100746818858E-03
    4.300000      1.659489113876E-02      5.108103276490E-03
    4.400000      1.664642756314E-02      5.117556923988E-03
    4.500000      1.669483297778E-02      5.123951251841E-03
    4.600000      1.672149945126E-02      5.121633834009E-03
    4.700000      1.670754799984E-02      5.104845561382E-03
    4.800000      1.663593664668E-02      5.068025743468E-03
    4.900000      1.649283467758E-02      5.006008739065E-03
    5.000000      1.626771841483E-02      4.914082357105E-03
    5.100000      1.595163128804E-02      4.787917451939E-03
    5.200000      1.553392383597E-02      4.623461758603E-03
    5.300000      1.499982944861E-02      4.416982866307E-03
    5.400000      1.433174927398E-02      4.165489475295E-03
    5.500000      1.351449976805E-02      3.867709589423E-03
    5.600000      1.254260044207E-02      3.525646723854E-03
    5.700000      1.142763861696E-02      3.146504212275E-03
    5.800000      1.020450647286E-02      2.744533871449E-03
    5.900000      8.936592957836E-03      2.342211019636E-03
    6.000000      7.720432000637E-03      1.970127807365E-03
    6.100000      6.687152424436E-03      1.665156798712E-03
    6.200000      5.992796541621E-03      1.466747956907E-03
    6.300000      5.788022090882E-03      1.411628964926E-03
    6.400000      6.171838949713E-03      1.527601968478E-03
    6.500000      7.157773943182E-03      1.827479505616E-03
    6.600000      8.677474637055E-03      2.304390071366E-03
    6.700000      1.060285585792E-02      2.929637298789E-03
    6.800000      1.275962210251E-02      3.653979838342E-03
    6.900000      1.494709169054E-02      4.412630503609E-03
    7.000000      1.696670353444E-02      5.133536945029E-03
    7.100000      1.864526473137E-02      5.747744326412E-03
    7.200000      1.985147506533E-02      6.200030160535E-03
    7.300000      2.050970588534E-02      6.457717201918E-03
    7.400000      2.061099363910E-02      6.515739892985E-03
    7.500000      2.021621616325E-02      6.396698793427E-03
    7.600000      1.944744732976E-02      6.145693146878E-03
    7.700000      1.846786486781E-02      5.820945988117E-03
