# M=10, N=5, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000     -8.881784197001E-16      8.881784197001E-16
    0.100000      6.955769850330E-04      1.251897501078E-04
    0.200000      2.331587448748E-03      4.774067452438E-04
    0.300000      4.477372011473E-03      9.921919301195E-04
    0.400000      6.745988858619E-03      1.579207220082E-03
    0.500000      8.800532711680E-03      2.142891348778E-03
    0.600000      1.039213653776E-02      2.603013208225E-03
    0.700000      1.138655934803E-02      2.909931807923E-03
    0.800000      1.177076983278E-02      3.051182784538E-03
    0.900000      1.163894597830E-02      3.048638789158E-03
    1.000000      1.116250949804E-02      2.948074503589E-03
    1.100000      1.054925431928E-02      2.804739887757E-03
    1.200000      9.987403924321E-03      2.669076575573E-03
    1.300000      9.608839930151E-03      2.576013098956E-03
    1.400000      9.486598401146E-03      2.539742615252E-03
    1.500000      9.635937993838E-03      2.554122554251E-03
    1.600000      9.937159249454E-03      2.597409323348E-03
    1.700000      1.022138346897E-02      2.639305011861E-03
    1.800000      1.035441271256E-02      2.648303067512E-03
    1.900000      1.023997269401E-02      2.597877630846E-03
    2.000000      9.825491132819E-03      2.470833536132E-03
    2.100000      9.103419679615E-03      2.261794048505E-03
    2.200000      8.105272919128E-03      1.978143740638E-03
    2.300000      6.892354399377E-03      1.639733568600E-03
    2.400000      5.557806058797E-03      1.277428096967E-03
    2.500000      4.232654739796E-03      9.303532226275E-04
    2.600000      3.079327169457E-03      6.416841676056E-04
    2.700000      2.284574439909E-03      4.530720998055E-04
    2.800000      2.019473145470E-03      3.982607908641E-04
    2.900000      2.400518141017E-03      4.969005868691E-04
    3.000000      3.429411669135E-03      7.498223252762E-04
    3.100000      4.939224969286E-03      1.136962391961E-03
    3.200000      6.730152976430E-03      1.618720774544E-03
    3.300000      8.594494167969E-03      2.140876648818E-03
    3.400000      1.032858872985E-02      2.642432186871E-03
    3.500000      1.175022699378E-02      3.065078322054E-03
    3.600000      1.272553258324E-02      3.362537934735E-03
    3.700000      1.318075828319E-02      3.507959836308E-03
    3.800000      1.310640948490E-02      3.497853720778E-03
    3.900000      1.255866496872E-02      3.351722742321E-03
    4.000000      1.165499549592E-02      3.107431956911E-03
    4.100000      1.055869353931E-02      2.813255966636E-03
    4.200000      9.456534515672E-03      2.518269929924E-03
    4.300000      8.537849650013E-03      2.263106078030E-03
    4.400000      7.979069244799E-03      2.072990516098E-03
    4.500000      7.753600487225E-03      1.954415892190E-03
    4.600000      7.726139165379E-03      1.895937365013E-03
    4.700000      7.770344336481E-03      1.872641067493E-03
    4.800000      7.767858116453E-03      1.853081507406E-03
    4.900000      7.622899555815E-03      1.807095974716E-03
    5.000000      7.274549339760E-03      1.712922147418E-03
    5.100000      6.706129679594E-03      1.562378867807E-03
    5.200000      5.952767656692E-03      1.363356944836E-03
    5.300000      5.102564944938E-03      1.139353597598E-03
    5.400000      4.280126738950E-03      9.261856295577E-04
    5.500000      3.629328257544E-03      7.663288505846E-04
    5.600000      3.311252868470E-03      7.016020455635E-04
    5.700000      3.481558301467E-03      7.651867382528E-04
    5.800000      4.248512579748E-03      9.742370028247E-04
    5.900000      5.581289050390E-03      1.324496717125E-03
    6.000000      7.291106668362E-03      1.788265036249E-03
    6.100000      9.160530603500E-03      2.316618270383E-03
    6.200000      1.096439030396E-02      2.846000612509E-03
    6.300000      1.248945654207E-02      3.308285834168E-03
    6.400000      1.355859962360E-02      3.642464039683E-03
    6.500000      1.405552836459E-02      3.805531357450E-03
    6.600000      1.394131992770E-02      3.780178695179E-03
    6.700000      1.325695184409E-02      3.577535223006E-03
    6.800000      1.210728254640E-02      3.234369139330E-03
    6.900000      1.065264864225E-02      2.805469960981E-03
    7.000000      9.087435300975E-03      2.353054867060E-03
    7.100000      7.617539921458E-03      1.935632389990E-03
    7.200000      6.444423350198E-03      1.598663696202E-03
    7.300000      5.713301765095E-03      1.368660760455E-03
    7.400000      5.400239239545E-03      1.251335956114E-03
    7.500000      5.421527460995E-03      1.233444093391E-03
    7.600000      5.667703474328E-03      1.287339809970E-03
    7.700000      6.013100478749E-03      1.377116548171E-03
    7.800000      6.340072236166E-03      1.465380002154E-03
    7.900000      6.548977357353E-03      1.519982109764E-03
    8.000000      6.572277482044E-03      1.520156668805E-03
    8.100000      6.383130400073E-03      1.461361170664E-03
    8.200000      6.009865444936E-03      1.357858870614E-03
    8.300000      5.546145351841E-03      1.241945351706E-03
    8.400000      5.141823492169E-03      1.159020209859E-03
    8.500000      4.979104320650E-03      1.158549012748E-03
    8.600000      5.247203997333E-03      1.282201473082E-03
    8.700000      6.119264327648E-03      1.551682216014E-03
    8.800000      7.579673376372E-03      1.959480786743E-03
    8.900000      9.406354607246E-03      2.465561041277E-03
    9.000000      1.131786986657E-02      3.001785117355E-03
    9.100000      1.301029361709E-02      3.483886183369E-03
    9.200000      1.420850905036E-02      3.828626959839E-03
    9.300000      1.471284021707E-02      3.972090698477E-03
    9.400000      1.443184178165E-02      3.884429826762E-03
    9.500000      1.339793855298E-02      3.577119999993E-03
    9.600000      1.176273376297E-02      3.100685095560E-03
    9.700000      9.773305980628E-03      2.533422577701E-03
    9.800000      7.732765169425E-03      1.964090620920E-03
    9.900000      5.942854941750E-03      1.473075855426E-03
   10.000000      4.649508365778E-03      1.116791424302E-03
   10.100000      4.000262644358E-03      9.189411481056E-04
   10.200000      3.964609262212E-03      8.702255838338E-04
   10.300000      4.335138748631E-03      9.357183674936E-04
   10.400000      4.897343214343E-03      1.067201491386E-03
   10.500000      5.469706206148E-03      1.216736438463E-03
   10.600000      5.932647319089E-03      1.347870402573E-03
   10.700000      6.241426654698E-03      1.441987246599E-03
   10.800000      6.412932048451E-03      1.498982961243E-03
   10.900000      6.508317506357E-03      1.533118236407E-03
   11.000000      6.618947843175E-03      1.566078158767E-03
   11.100000      6.811608828730E-03      1.619665415618E-03
   11.200000      7.107510154918E-03      1.710162606268E-03
   11.300000      7.516082660034E-03      1.845460345825E-03
   11.400000      8.040863844588E-03      2.024937363791E-03
   11.500000      8.689883055088E-03      2.241178911336E-03
   11.600000      9.470843104004E-03      2.482204278974E-03
   11.700000      1.032317498823E-02      2.733036494843E-03
   11.800000      1.115461332281E-02      2.976080731617E-03
   11.900000      1.188757049948E-02      3.190612821281E-03
   12.000000      1.245059502089E-02      3.352371084505E-03
   12.100000      1.277343979257E-02      3.434493000619E-03
   12.200000      1.277490289693E-02      3.410697980057E-03
   12.300000      1.237290301511E-02      3.260762313551E-03
   12.400000      1.151116732396E-02      2.977245040534E-03
   12.500000      1.019066967555E-02      2.571512059988E-03
   12.600000      8.487769801750E-03      2.076766616120E-03
   12.700000      6.558251906458E-03      1.546260321371E-03
   12.800000      4.628760671204E-03      1.046085903972E-03
   12.900000      2.978647841170E-03      6.435971688488E-04
   13.000000      1.920273286672E-03      3.940185472517E-04
   13.100000      1.686129596044E-03      3.286462272407E-04
   13.200000      2.227015736716E-03      4.478651436246E-04
   13.300000      3.369324344352E-03      7.210187797573E-04
   13.400000      4.863745569264E-03      1.093327930364E-03
   13.500000      6.431667929648E-03      1.498134371345E-03
   13.600000      7.830506506099E-03      1.871336780700E-03
   13.700000      8.889587022401E-03      2.164402513608E-03
   13.800000      9.529235000695E-03      2.352888815514E-03
   13.900000      9.761433066687E-03      2.438771522308E-03
   14.000000      9.675997073537E-03      2.446596172663E-03
   14.100000      9.415069164067E-03      2.414997981286E-03
   14.200000      9.142661872106E-03      2.386058870913E-03
   14.300000      9.021166051032E-03      2.395107037652E-03
   14.400000      9.190405101585E-03      2.463022135867E-03
   14.500000      9.697021100781E-03      2.592190503829E-03
   14.600000      1.041617676024E-02      2.766316371530E-03
   14.700000      1.118186708442E-02      2.953604021555E-03
   14.800000      1.182875666414E-02      3.112477104776E-03
   14.900000      1.220245755834E-02      3.198916645078E-03
   15.000000      1.217810566421E-02      3.174503557290E-03
   15.100000      1.167612730955E-02      3.014189358698E-03
   15.200000      1.067488389780E-02      2.712657489843E-03
   15.300000      9.220341479214E-03      2.288000116742E-03
   15.400000      7.430217045277E-03      1.781536055235E-03
   15.500000      5.482195368582E-03      1.253107891293E-03
   15.600000      3.604629261218E-03      7.721235248521E-04
   15.700000      2.060278659648E-03      4.057335973537E-04
   15.800000      1.128421400986E-03      2.064925285086E-04
   15.900000      1.101141701438E-03      2.022643707869E-04
   16.000000      2.000812192711E-03      3.907906888885E-04
   16.100000      3.499029834976E-03      7.402792474935E-04
   16.200000      5.300918408720E-03      1.195895765027E-03
   16.300000      7.141918455114E-03      1.690591675428E-03
   16.400000      8.800521166933E-03      2.157712481617E-03
   16.500000      1.011714493473E-02      2.542572648220E-03
   16.600000      1.100088479461E-02      2.810671373986E-03
   16.700000      1.142921303172E-02      2.951238032042E-03
   16.800000      1.144584704290E-02      2.975980108017E-03
   16.900000      1.114553301016E-02      2.913911128289E-03
   17.000000      1.065680957286E-02      2.803739112616E-03
   17.100000      1.012476077230E-02      2.685451815593E-03
   17.200000      9.694728675858E-03      2.592546820219E-03
   17.300000      9.495666119969E-03      2.545996450846E-03
   17.400000      9.582199123642E-03      2.550665821449E-03
   17.500000      9.869729264660E-03      2.594593430796E-03
   17.600000      1.021682819942E-02      2.651278340760E-03
   17.700000      1.047219677242E-02      2.684816098861E-03
   17.800000      1.048959227107E-02      2.657315979877E-03
   17.900000      1.015210557938E-02      2.537523878543E-03
   18.000000      9.393223440712E-03      2.309090116380E-03
   18.100000      8.216649313743E-03      1.976661073186E-03
   18.200000      6.707333144425E-03      1.568128977145E-03
   18.300000      5.030691364310E-03      1.132023162496E-03
   18.400000      3.417320260288E-03      7.300731502702E-04
   18.500000      2.135947348215E-03      4.261649543960E-04
   18.600000      1.448318784442E-03      2.739147014426E-04
   18.700000      1.545537540086E-03      3.055951386020E-04
