# M=22, N=11, V0=0.0, V=-0.5, PBC
#  time (tJ)                 S₁(n=5)                 S₂(n=5)
    0.000000      3.463895836830E-14      0.000000000000E+00
    0.100000      1.183298071926E-02      2.697409837505E-03
    0.200000      3.822024284342E-02      1.028239257050E-02
    0.300000      7.155500869208E-02      2.136233275810E-02
    0.400000      1.058780970541E-01      3.400671102303E-02
    0.500000      1.364965947433E-01      4.620779674908E-02
    0.600000      1.602655600055E-01      5.632174069946E-02
    0.700000      1.757355744725E-01      6.337398326171E-02
    0.800000      1.830731575170E-01      6.716375824041E-02
    0.900000      1.837674194872E-01      6.816664458490E-02
    1.000000      1.801665173926E-01      6.729016335422E-02
    1.100000      1.748897080306E-01      6.557017783413E-02
    1.200000      1.701982710052E-01      6.389895632325E-02
    1.300000      1.674928197320E-01      6.285177516238E-02
    1.400000      1.671517950502E-01      6.263831108533E-02
    1.500000      1.687209948973E-01      6.316288963613E-02
    1.600000      1.713181706521E-01      6.414826242272E-02
    1.700000      1.740508156757E-01      6.526909499084E-02
    1.800000      1.762585616568E-01      6.625292814274E-02
    1.900000      1.775846964924E-01      6.692964227070E-02
    2.000000      1.779680430117E-01      6.723402063248E-02
    2.100000      1.775490961423E-01      6.718072626698E-02
    2.200000      1.765649507664E-01      6.683337766096E-02
    2.300000      1.752843009499E-01      6.628189643614E-02
    2.400000      1.739338784649E-01      6.563099999584E-02
    2.500000      1.726807755440E-01      6.499394091365E-02
    2.600000      1.716928350552E-01      6.448313717163E-02
    2.700000      1.711539465711E-01      6.419327494538E-02
    2.800000      1.712072920529E-01      6.417966145434E-02
    2.900000      1.718423920272E-01      6.444047446973E-02
    3.000000      1.728411664235E-01      6.491246906165E-02
    3.100000      1.738730228829E-01      6.548492922941E-02
    3.200000      1.746422216798E-01      6.602871229362E-02
    3.300000      1.750163907282E-01      6.643042208547E-02
    3.400000      1.750791673195E-01      6.661968548496E-02
    3.500000      1.749950402007E-01      6.658110260651E-02
    3.600000      1.748192444416E-01      6.634942639612E-02
    3.700000      1.745366265016E-01      6.599296488400E-02
    3.800000      1.741521661804E-01      6.559303112590E-02
    3.900000      1.737143036164E-01      6.522606965872E-02
    4.000000      1.733164393727E-01      6.495176429803E-02
    4.100000      1.730921971339E-01      6.480733401657E-02
    4.200000      1.731770404580E-01      6.480651855867E-02
    4.300000      1.736244486461E-01      6.494129308950E-02
    4.400000      1.743616609111E-01      6.518464362459E-02
    4.500000      1.752394055740E-01      6.549361872637E-02
    4.600000      1.760871619998E-01      6.581314865986E-02
    4.700000      1.767388656203E-01      6.608198835318E-02
    4.800000      1.770575225938E-01      6.624156200468E-02
    4.900000      1.769559731799E-01      6.624634518771E-02
    5.000000      1.764249693673E-01      6.607204516168E-02
    5.100000      1.755443883762E-01      6.571710575064E-02
    5.200000      1.744388214691E-01      6.519485024798E-02
    5.300000      1.731867041163E-01      6.451712297317E-02
    5.400000      1.717643922063E-01      6.367390995860E-02
    5.500000      1.700338418212E-01      6.261564527457E-02
    5.600000      1.677344497721E-01      6.124503030446E-02
