# M=16, N=8, V0=0.0, V=-1.4, PBC
#  time (tJ)                 S₁(ℓ=8)                 S₂(ℓ=8)
    0.000000      1.270191330997E+00      9.635005380843E-01
    0.100000      1.277035010294E+00      9.693714328935E-01
    0.200000      1.296455498232E+00      9.860989551225E-01
    0.300000      1.325584935419E+00      1.011275085693E+00
    0.400000      1.360804703093E+00      1.041617740759E+00
    0.500000      1.398742649366E+00      1.073781278281E+00
    0.600000      1.436914744289E+00      1.105051310713E+00
    0.700000      1.473921136921E+00      1.133731925101E+00
    0.800000      1.509296760151E+00      1.159185639309E+00
    0.900000      1.543188430782E+00      1.181614948760E+00
    1.000000      1.576014222511E+00      1.201724869454E+00
    1.100000      1.608203832565E+00      1.220387886726E+00
    1.200000      1.640058332966E+00      1.238386834821E+00
    1.300000      1.671721607756E+00      1.256267895772E+00
    1.400000      1.703227213495E+00      1.274303705892E+00
    1.500000      1.734572787388E+00      1.292543133680E+00
    1.600000      1.765777519187E+00      1.310908087949E+00
    1.700000      1.796891821543E+00      1.329291295650E+00
    1.800000      1.827944611216E+00      1.347615369528E+00
    1.900000      1.858827241420E+00      1.365830804293E+00
    2.000000      1.889128719188E+00      1.383852299338E+00
    2.100000      1.917967879802E+00      1.401455060665E+00
    2.200000      1.943915398496E+00      1.418176574852E+00
    2.300000      1.965121109856E+00      1.433289185730E+00
    2.400000      1.979699144794E+00      1.445901576883E+00
    2.500000      1.986281978261E+00      1.455189503031E+00
    2.600000      1.984522496679E+00      1.460665203055E+00
    2.700000      1.975298617141E+00      1.462343009503E+00
    2.800000      1.960503159722E+00      1.460710874759E+00
    2.900000      1.942505524968E+00      1.456542619640E+00
    3.000000      1.923512548949E+00      1.450668792078E+00
    3.100000      1.905045119714E+00      1.443797964827E+00
    3.200000      1.887696485117E+00      1.436403667762E+00
    3.300000      1.871311570711E+00      1.428661784795E+00
    3.400000      1.855410413605E+00      1.420449234989E+00
    3.500000      1.839568132702E+00      1.411429122063E+00
    3.600000      1.823630492170E+00      1.401214700455E+00
    3.700000      1.807722171923E+00      1.389565087395E+00
    3.800000      1.792035094411E+00      1.376561289105E+00
    3.900000      1.776619959308E+00      1.362720105149E+00
    4.000000      1.761480136442E+00      1.348991987609E+00
    4.100000      1.746863939200E+00      1.336587895149E+00
    4.200000      1.733374797304E+00      1.326645439146E+00
    4.300000      1.721753509796E+00      1.319852733375E+00
    4.400000      1.712528886402E+00      1.316201350877E+00
    4.500000      1.705800886342E+00      1.314981103385E+00
    4.600000      1.701246661699E+00      1.315005632071E+00
    4.700000      1.698263917236E+00      1.314960694784E+00
    4.800000      1.696143583839E+00      1.313746373249E+00
    4.900000      1.694268838902E+00      1.310721390212E+00
    5.000000      1.692346511405E+00      1.305804743079E+00
    5.100000      1.690528570241E+00      1.299424348528E+00
    5.200000      1.689297463165E+00      1.292334372853E+00
    5.300000      1.689198028906E+00      1.285358782622E+00
    5.400000      1.690565576799E+00      1.279142388069E+00
    5.500000      1.693329940713E+00      1.273985477561E+00
    5.600000      1.696970503017E+00      1.269805605847E+00
    5.700000      1.700679785340E+00      1.266223578264E+00
    5.800000      1.703676980763E+00      1.262727665735E+00
    5.900000      1.705505186938E+00      1.258850943200E+00
    6.000000      1.706166417546E+00      1.254310791613E+00
    6.100000      1.706073555811E+00      1.249090271514E+00
    6.200000      1.705895812916E+00      1.243460374867E+00
    6.300000      1.706375410076E+00      1.237942475047E+00
    6.400000      1.708159819738E+00      1.233207284040E+00
    6.500000      1.711671089944E+00      1.229915848706E+00
    6.600000      1.717041918328E+00      1.228532216746E+00
    6.700000      1.724143356969E+00      1.229166173159E+00
    6.800000      1.732686127292E+00      1.231513239493E+00
    6.900000      1.742290070161E+00      1.234923602040E+00
    7.000000      1.752416052458E+00      1.238564678464E+00
    7.100000      1.762240707033E+00      1.241600024362E+00
    7.200000      1.770666860707E+00      1.243330209281E+00
    7.300000      1.776528316810E+00      1.243294139367E+00
    7.400000      1.778929592696E+00      1.241340238268E+00
    7.500000      1.777577756939E+00      1.237638816838E+00
    7.600000      1.772913173709E+00      1.232596471168E+00
    7.700000      1.765937075447E+00      1.226701229552E+00
    7.800000      1.757794592730E+00      1.220408801909E+00
    7.900000      1.749398245314E+00      1.214166192537E+00
    8.000000      1.741447839442E+00      1.208550184591E+00
    8.100000      1.734749227705E+00      1.204388576941E+00
    8.200000      1.730326049304E+00      1.202735520028E+00
    8.300000      1.729156960920E+00      1.204669422812E+00
    8.400000      1.731783166970E+00      1.210976448228E+00
    8.500000      1.738031542207E+00      1.221825046714E+00
    8.600000      1.746949998601E+00      1.236548356685E+00
    8.700000      1.756970162928E+00      1.253645368114E+00
