# M=16, N=8, max=1, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(ℓ=8)                 S₂(ℓ=8)
    0.000000      1.270191330997E+00      9.635005380843E-01
    0.100000      1.270405064624E+00      9.632795821387E-01
    0.200000      1.270966902451E+00      9.626488880485E-01
    0.300000      1.271706131508E+00      9.617001922875E-01
    0.400000      1.272475193900E+00      9.605704607028E-01
    0.500000      1.273208966126E+00      9.594188052034E-01
    0.600000      1.273915299284E+00      9.583976627345E-01
    0.700000      1.274630244146E+00      9.576239910942E-01
    0.800000      1.275378799049E+00      9.571576189663E-01
    0.900000      1.276163247593E+00      9.569925549272E-01
    1.000000      1.276978660206E+00      9.570632799380E-01
    1.100000      1.277833448650E+00      9.572635424647E-01
    1.200000      1.278732302437E+00      9.574719574016E-01
    1.300000      1.279642212368E+00      9.575778888360E-01
    1.400000      1.280509427434E+00      9.575024499091E-01
    1.500000      1.281286472195E+00      9.572118503021E-01
    1.600000      1.281943514622E+00      9.567225186220E-01
    1.700000      1.282476142998E+00      9.560986751793E-01
    1.800000      1.282916653379E+00      9.554432737176E-01
    1.900000      1.283340477858E+00      9.548829743458E-01
    2.000000      1.283853301189E+00      9.545478366103E-01
    2.100000      1.284545803369E+00      9.545473999405E-01
    2.200000      1.285428035210E+00      9.549468246218E-01
    2.300000      1.286397124855E+00      9.557489151902E-01
    2.400000      1.287266367111E+00      9.568884519610E-01
    2.500000      1.287832497888E+00      9.582427900895E-01
    2.600000      1.287951505697E+00      9.596571997994E-01
    2.700000      1.287593535236E+00      9.609773014737E-01
    2.800000      1.286852111552E+00      9.620779051032E-01
    2.900000      1.285907194514E+00      9.628799867117E-01
    3.000000      1.284956221871E+00      9.633541688509E-01
    3.100000      1.284123100231E+00      9.635154060481E-01
    3.200000      1.283400380651E+00      9.634152506205E-01
    3.300000      1.282708999637E+00      9.631345461837E-01
    3.400000      1.281981251280E+00      9.627744162760E-01
    3.500000      1.281199165389E+00      9.624417257671E-01
    3.600000      1.280397206717E+00      9.622284177510E-01
    3.700000      1.279640913431E+00      9.621895451856E-01
    3.800000      1.278994925979E+00      9.623279063178E-01
    3.900000      1.278498760752E+00      9.625914587250E-01
    4.000000      1.278163539732E+00      9.628844097696E-01
    4.100000      1.277982616953E+00      9.630877052912E-01
