# M=20, N=10, V0=0.0, V=-1.9, PBC
#  time (tJ)                 S₁(n=5)                 S₂(n=5)
    0.000000     -1.865174681370E-14     -8.881784197001E-16
    0.100000      1.099319992822E-01      3.590859524415E-02
    0.200000      3.247376884054E-01      1.345481751143E-01
    0.300000      5.652154840260E-01      2.723399212411E-01
    0.400000      7.870738906930E-01      4.203365592240E-01
    0.500000      9.677937615396E-01      5.540755332430E-01
    0.600000      1.101091364908E+00      6.596284495477E-01
    0.700000      1.191744678502E+00      7.344245885716E-01
    0.800000      1.251047358975E+00      7.843888002415E-01
    0.900000      1.292589290796E+00      8.195395598562E-01
    1.000000      1.328185201045E+00      8.495968194512E-01
    1.100000      1.364939362410E+00      8.808313797813E-01
    1.200000      1.404590830677E+00      9.150244865365E-01
    1.300000      1.444955366059E+00      9.505035148628E-01
    1.400000      1.482385825130E+00      9.843013283797E-01
    1.500000      1.514228626575E+00      1.014204642127E+00
    1.600000      1.540347390249E+00      1.039813825088E+00
    1.700000      1.563071038221E+00      1.062386323368E+00
    1.800000      1.585704503751E+00      1.083846463457E+00
    1.900000      1.610616729125E+00      1.105639700444E+00
    2.000000      1.638063688650E+00      1.127995621283E+00
    2.100000      1.666209315778E+00      1.149855637762E+00
    2.200000      1.692144317446E+00      1.169463428679E+00
    2.300000      1.713473565299E+00      1.185367421363E+00
    2.400000      1.729562575124E+00      1.197299308733E+00
    2.500000      1.741547474987E+00      1.206364532572E+00
    2.600000      1.751265246747E+00      1.214414283754E+00
    2.700000      1.760157835465E+00      1.223029371140E+00
    2.800000      1.768904196183E+00      1.232780280222E+00
    2.900000      1.777585351133E+00      1.243193164592E+00
    3.000000      1.785924916905E+00      1.253316554512E+00
    3.100000      1.793637627419E+00      1.262399068598E+00
    3.200000      1.800786677625E+00      1.270252405248E+00
    3.300000      1.807849106039E+00      1.277181201498E+00
    3.400000      1.815371850748E+00      1.283616945439E+00
    3.500000      1.823402117318E+00      1.289714790361E+00
    3.600000      1.831189827847E+00      1.295143193667E+00
    3.700000      1.837452839914E+00      1.299159285433E+00
    3.800000      1.840973313503E+00      1.300939337744E+00
    3.900000      1.841158786822E+00      1.300039662871E+00
    4.000000      1.838372447413E+00      1.296780341911E+00
    4.100000      1.834026630867E+00      1.292381102463E+00
    4.200000      1.830586879371E+00      1.288838128930E+00
    4.300000      1.831361010650E+00      1.288616002884E+00
    4.400000      1.839686078825E+00      1.294177082115E+00
    4.500000      1.857609337570E+00      1.307335497486E+00
    4.600000      1.884609145713E+00      1.328461116733E+00
    4.700000      1.916898093729E+00      1.355679446920E+00
    4.800000      1.948089368606E+00      1.384613757620E+00
    4.900000      1.971664796233E+00      1.409414453112E+00
    5.000000      1.983502935305E+00      1.424692329463E+00
    5.100000      1.982371451186E+00      1.426703370357E+00
    5.200000      1.968536549155E+00      1.413270805989E+00
    5.300000      1.942370215787E+00      1.383961214263E+00
    5.400000      1.905070872571E+00      1.341416587070E+00
    5.500000      1.860921512692E+00      1.292215532678E+00
    5.600000      1.817726036774E+00      1.245300876679E+00
    5.700000      1.784149874566E+00      1.208636783287E+00
    5.800000      1.765719993965E+00      1.186384524189E+00
    5.900000      1.762235481555E+00      1.177902384069E+00
    6.000000      1.768217303086E+00      1.178563448269E+00
    6.100000      1.775969470716E+00      1.181886934404E+00
    6.200000      1.779075240664E+00      1.182149107375E+00
    6.300000      1.774454462634E+00      1.176394601004E+00
    6.400000      1.762879640983E+00      1.165104475063E+00
    6.500000      1.748454485244E+00      1.151534954759E+00
    6.600000      1.737152011568E+00      1.140240390839E+00
    6.700000      1.734413265799E+00      1.135318506459E+00
    6.800000      1.742538811375E+00      1.138878161596E+00
    6.900000      1.759672028311E+00      1.150277212381E+00
    7.000000      1.781144737660E+00      1.166464706498E+00
    7.100000      1.801755647204E+00      1.183260966800E+00
    7.200000      1.817634729277E+00      1.197003478980E+00
    7.300000      1.827304784664E+00      1.205864263610E+00
    7.400000      1.831911557495E+00      1.210308783540E+00
    7.500000      1.834591705727E+00      1.212593210439E+00
    7.600000      1.839002839803E+00      1.215626868110E+00
    7.700000      1.847519962838E+00      1.221695542912E+00
    7.800000      1.860116461589E+00      1.231519580932E+00
