# M=8, N=4, V0=0.0, V=-1.4, PBC
#  time (tJ)                       0                       1                       2                       3                       4                       5                       6                       7
    0.000000      5.000000000000E-01      1.433058261758E-01      2.500000000000E-01      2.316941738242E-01      2.500000000000E-01      2.316941738242E-01      2.500000000000E-01      1.433058261758E-01
    0.100000      5.000000000000E-01      1.461074181181E-01      2.458740946431E-01      2.333253761976E-01      2.493862220823E-01      2.333253761976E-01      2.458740946431E-01      1.461074181181E-01
    0.200000      5.000000000000E-01      1.538629683056E-01      2.347764467755E-01      2.372837423963E-01      2.481536850452E-01      2.372837423963E-01      2.347764467755E-01      1.538629683056E-01
    0.300000      5.000000000000E-01      1.648286711870E-01      2.200820074612E-01      2.412363679182E-01      2.477059068673E-01      2.412363679182E-01      2.200820074612E-01      1.648286711870E-01
    0.400000      5.000000000000E-01      1.767016291856E-01      2.060577103716E-01      2.426317325892E-01      2.492178557072E-01      2.426317325892E-01      2.060577103716E-01      1.767016291856E-01
    0.500000      5.000000000000E-01      1.872908177230E-01      1.964125650621E-01      2.399904028082E-01      2.526124288133E-01      2.399904028082E-01      1.964125650621E-01      1.872908177230E-01
    0.600000      5.000000000000E-01      1.950891716999E-01      1.931681993904E-01      2.336625646639E-01      2.561601284917E-01      2.336625646639E-01      1.931681993904E-01      1.950891716999E-01
    0.700000      5.000000000000E-01      1.995681657020E-01      1.962466996627E-01      2.256825408971E-01      2.570051874764E-01      2.256825408971E-01      1.962466996627E-01      1.995681657020E-01
    0.800000      5.000000000000E-01      2.011364222059E-01      2.038442614727E-01      2.188038666374E-01      2.524308993679E-01      2.188038666374E-01      2.038442614727E-01      2.011364222059E-01
    0.900000      5.000000000000E-01      2.008328394031E-01      2.133311601471E-01      2.151986872431E-01      2.412746264135E-01      2.151986872431E-01      2.133311601471E-01      2.008328394031E-01
    1.000000      5.000000000000E-01      1.999077063823E-01      2.222384222284E-01      2.154569094436E-01      2.247939238912E-01      2.154569094436E-01      2.222384222284E-01      1.999077063823E-01
    1.100000      5.000000000000E-01      1.994532577482E-01      2.289269961587E-01      2.183594604530E-01      2.065205712802E-01      2.183594604530E-01      2.289269961587E-01      1.994532577482E-01
    1.200000      5.000000000000E-01      2.001859176632E-01      2.327474516845E-01      2.215161909335E-01      1.911008794374E-01      2.215161909335E-01      2.327474516845E-01      2.001859176632E-01
    1.300000      5.000000000000E-01      2.023935813574E-01      2.337684443288E-01      2.225442147521E-01      1.825875191234E-01      2.225442147521E-01      2.337684443288E-01      2.023935813574E-01
    1.400000      5.000000000000E-01      2.059892159581E-01      2.323442136136E-01      2.202144884469E-01      1.829041639629E-01      2.202144884469E-01      2.323442136136E-01      2.059892159581E-01
    1.500000      5.000000000000E-01      2.105891061810E-01      2.288186069931E-01      2.150246606421E-01      1.911352523677E-01      2.150246606421E-01      2.288186069931E-01      2.105891061810E-01
    1.600000      5.000000000000E-01      2.155636331249E-01      2.235272283264E-01      2.089421214929E-01      2.039340341115E-01      2.089421214929E-01      2.235272283264E-01      2.155636331249E-01
    1.700000      5.000000000000E-01      2.200657381691E-01      2.170443203558E-01      2.044610809766E-01      2.168577209972E-01      2.044610809766E-01      2.170443203558E-01      2.200657381691E-01
    1.800000      5.000000000000E-01      2.230888982917E-01      2.104475684689E-01      2.034394202180E-01      2.260482260428E-01      2.034394202180E-01      2.104475684689E-01      2.230888982917E-01
    1.900000      5.000000000000E-01      2.236117454508E-01      2.053375872272E-01      2.062736812917E-01      2.295539720606E-01      2.062736812917E-01      2.053375872272E-01      2.236117454508E-01
    2.000000      5.000000000000E-01      2.208437038463E-01      2.034718096234E-01      2.117943008534E-01      2.277803713537E-01      2.117943008534E-01      2.034718096234E-01      2.208437038463E-01
    2.100000      5.000000000000E-01      2.145165027368E-01      2.060932281760E-01      2.179075595880E-01      2.229654189983E-01      2.179075595880E-01      2.060932281760E-01      2.145165027368E-01
    2.200000      5.000000000000E-01      2.051088391983E-01      2.132379927147E-01      2.226495643786E-01      2.180072074170E-01      2.226495643786E-01      2.132379927147E-01      2.051088391983E-01
    2.300000      5.000000000000E-01      1.938819894747E-01      2.233811179075E-01      2.251244492290E-01      2.152248867776E-01      2.251244492290E-01      2.233811179075E-01      1.938819894747E-01
    2.400000      5.000000000000E-01      1.826571259311E-01      2.336751259051E-01      2.258643837821E-01      2.156067287634E-01      2.258643837821E-01      2.336751259051E-01      1.826571259311E-01
    2.500000      5.000000000000E-01      1.733638457608E-01      2.407885761807E-01      2.264391051958E-01      2.188169457253E-01      2.264391051958E-01      2.407885761807E-01      1.733638457608E-01
    2.600000      5.000000000000E-01      1.674922528832E-01      2.420700153245E-01      2.285172285206E-01      2.238410065433E-01      2.285172285206E-01      2.420700153245E-01      1.674922528832E-01
    2.700000      5.000000000000E-01      1.656396962044E-01      2.365816216100E-01      2.328599984423E-01      2.298373674867E-01      2.328599984423E-01      2.365816216100E-01      1.656396962044E-01
    2.800000      5.000000000000E-01      1.673261758778E-01      2.255600176069E-01      2.387733517188E-01      2.366809095929E-01      2.387733517188E-01      2.255600176069E-01      1.673261758778E-01
    2.900000      5.000000000000E-01      1.711603882301E-01      2.120769604588E-01      2.443272800811E-01      2.448707424599E-01      2.443272800811E-01      2.120769604588E-01      1.711603882301E-01
    3.000000      5.000000000000E-01      1.753066517206E-01      2.000023821094E-01      2.472694981633E-01      2.548429360134E-01      2.472694981633E-01      2.000023821094E-01      1.753066517206E-01
