# M=8, N=4, V0=0.0, V=0.15, PBC
#  time (tJ)                 S₁(n=2)                 S₂(n=2)
    0.000000     -2.220446049250E-16      4.440892098501E-16
    0.100000      6.304930795165E-04      1.138800151095E-04
    0.200000      2.111777372638E-03      4.341721904504E-04
    0.300000      4.051211251848E-03      9.018209461262E-04
    0.400000      6.094229665370E-03      1.433671074905E-03
    0.500000      7.929151763010E-03      1.941046789239E-03
    0.600000      9.321582478927E-03      2.348463566110E-03
    0.700000      1.013962227445E-02      2.607846539354E-03
    0.800000      1.036210491957E-02      2.705085132108E-03
    0.900000      1.006886783992E-02      2.657949875077E-03
    1.000000      9.412742126689E-03      2.506684549727E-03
    1.100000      8.588087834020E-03      2.300366472435E-03
    1.200000      7.814080244048E-03      2.082987408135E-03
    1.300000      7.266825784948E-03      1.882989975116E-03
    1.400000      6.848607166197E-03      1.708814991997E-03
    1.500000      6.449635084807E-03      1.551228033611E-03
    1.600000      5.969003358869E-03      1.391295365867E-03
    1.700000      5.335960478292E-03      1.211367328977E-03
    1.800000      4.537375593011E-03      1.005660066215E-03
    1.900000      3.641210073517E-03      7.871510647408E-04
    2.000000      2.816695276858E-03      5.884618039724E-04
    2.100000      2.266226251399E-03      4.559771700563E-04
    2.200000      2.140963664411E-03      4.383142952804E-04
    2.300000      2.567732220127E-03      5.719748912352E-04
    2.400000      3.636345804981E-03      8.681180395744E-04
    2.500000      5.300796182923E-03      1.304468195175E-03
    2.600000      7.237878321136E-03      1.825260546151E-03
    2.700000      9.127437261720E-03      2.350031263757E-03
    2.800000      1.066813341998E-02      2.789559793922E-03
    2.900000      1.161595089179E-02      3.065133414058E-03
    3.000000      1.182174018874E-02      3.126217431476E-03
    3.100000      1.125482162550E-02      2.961932037552E-03
    3.200000      1.000740064520E-02      2.603365310314E-03
    3.300000      8.279160084596E-03      2.116199878222E-03
    3.400000      6.345889330335E-03      1.585682682281E-03
    3.500000      4.517060190117E-03      1.097903581432E-03
    3.600000      3.118236684485E-03      7.221478909558E-04
    3.700000      2.345478733360E-03      4.985673530951E-04
    3.800000      2.156018974107E-03      4.337759551261E-04
    3.900000      2.461226791517E-03      5.047423192934E-04
    4.000000      3.141138611980E-03      6.691856239147E-04
    4.100000      4.026374429021E-03      8.791766082679E-04
    4.200000      4.898295867473E-03      1.094130464777E-03
    4.300000      5.632771532609E-03      1.289866194990E-03
    4.400000      6.197049686420E-03      1.461658428009E-03
    4.500000      6.632356521685E-03      1.620865080284E-03
    4.600000      7.028670427085E-03      1.786405932970E-03
    4.700000      7.496699585716E-03      1.973745867764E-03
    4.800000      8.164995008442E-03      2.184787485972E-03
    4.900000      8.992098829554E-03      2.401962224638E-03
    5.000000      9.761697569430E-03      2.588758822641E-03
    5.100000      1.027075265357E-02      2.697137345681E-03
    5.200000      1.033674704045E-02      2.680207635484E-03
    5.300000      9.836214093751E-03      2.506813602301E-03
    5.400000      8.736286787472E-03      2.173817657727E-03
    5.500000      7.112953905387E-03      1.712234772505E-03
    5.600000      5.151604264393E-03      1.184879734710E-03
    5.700000      3.128855180142E-03      6.754714678698E-04
    5.800000      1.380355421141E-03      2.715493952046E-04
    5.900000      2.710101379881E-04      4.539514186175E-05
    6.000000      2.334363818743E-04      3.785060721095E-05
    6.100000      1.289225067319E-03      2.492341054163E-04
    6.200000      2.998059576256E-03      6.396578183581E-04
    6.300000      4.993525967254E-03      1.138509582999E-03
    6.400000      6.944087410126E-03      1.660453335379E-03
    6.500000      8.577784517856E-03      2.123733801813E-03
    6.600000      9.711010651119E-03      2.466242322246E-03
    6.700000      1.026477770473E-02      2.655695535721E-03
    6.800000      1.026416750584E-02      2.692027614465E-03
    6.900000      9.817266335653E-03      2.602156021557E-03
    7.000000      9.093467382197E-03      2.429120367030E-03
    7.100000      8.299144716857E-03      2.218816225916E-03
    7.200000      7.643064104605E-03      2.007926376852E-03
    7.300000      7.142943907175E-03      1.816144117341E-03
    7.400000      6.705822781991E-03      1.644520046399E-03
    7.500000      6.242447904415E-03      1.480049439695E-03
    7.600000      5.670263633780E-03      1.304879176984E-03
    7.700000      4.943471156626E-03      1.107201249987E-03
    7.800000      4.083679619863E-03      8.903673249954E-04
    7.900000      3.201504027697E-03      6.771683122593E-04
    8.000000      2.490338817565E-03      5.075058977069E-04
    8.100000      2.135229380318E-03      4.295479753753E-04
    8.200000      2.280737378875E-03      4.864382835312E-04
    8.300000      3.035951277086E-03      7.021650977967E-04
    8.400000      4.433704235026E-03      1.070779430600E-03
    8.500000      6.251918893000E-03      1.552510689360E-03
    8.600000      8.177467585249E-03      2.078546580253E-03
    8.700000      9.901829319926E-03      2.563809556387E-03
    8.800000      1.115431495337E-02      2.924721398091E-03
    8.900000      1.174159294624E-02      3.097448820333E-03
    9.000000      1.157674177428E-02      3.051938979350E-03
    9.100000      1.069169638035E-02      2.798215255498E-03
    9.200000      9.230736327339E-03      2.383513415739E-03
    9.300000      7.427252189518E-03      1.881240196604E-03
    9.400000      5.565483123378E-03      1.374749375785E-03
    9.500000      3.958077815488E-03      9.400483993174E-04
    9.600000      2.852639815435E-03      6.315521916616E-04
    9.700000      2.307992196289E-03      4.739752970644E-04
    9.800000      2.281022596866E-03      4.617343138049E-04
    9.900000      2.697021248401E-03      5.653000714037E-04
   10.000000      3.457761864589E-03      7.422862516033E-04
   10.100000      4.335515339169E-03      9.500664688384E-04
   10.200000      5.152673289501E-03      1.156556755288E-03
   10.300000      5.826670322014E-03      1.346458646573E-03
   10.400000      6.357298738479E-03      1.521541614120E-03
