# M=16, N=8, V0=0.0, V=0.765, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000     -2.664535259100E-15      0.000000000000E+00
    0.100000      1.792136113142E-02      4.538763668741E-03
    0.200000      5.664248290132E-02      1.726677525412E-02
    0.300000      1.041901180171E-01      3.573983205873E-02
    0.400000      1.516721744227E-01      5.655349894814E-02
    0.500000      1.923172998449E-01      7.613912291898E-02
    0.600000      2.216620789328E-01      9.153933594969E-02
    0.700000      2.376410982961E-01      1.009701774104E-01
    0.800000      2.404804234313E-01      1.040576168846E-01
    0.900000      2.324151437704E-01      1.017314361484E-01
    1.000000      2.172516485569E-01      9.584028742417E-02
    1.100000      1.997787414231E-01      8.860750657477E-02
    1.200000      1.848946754091E-01      8.207376050203E-02
    1.300000      1.761546101904E-01      7.766406518290E-02
    1.400000      1.746075022884E-01      7.597235964182E-02
    1.500000      1.786663738394E-01      7.678875579704E-02
    1.600000      1.856618520327E-01      7.932442306624E-02
    1.700000      1.931576608823E-01      8.253874421098E-02
    1.800000      1.994219543149E-01      8.545827512745E-02
    1.900000      2.034841508320E-01      8.740044120583E-02
    2.000000      2.048861796575E-01      8.806389382750E-02
    2.100000      2.037649468765E-01      8.749784955893E-02
    2.200000      2.008060674807E-01      8.599367870385E-02
    2.300000      1.969091947715E-01      8.394724583302E-02
    2.400000      1.928187544863E-01      8.172750034444E-02
    2.500000      1.890802834621E-01      7.956943423665E-02
    2.600000      1.860687231026E-01      7.750083156138E-02
    2.700000      1.836341293623E-01      7.531633244355E-02
    2.800000      1.805915073500E-01      7.261846172503E-02
    2.900000      1.753226500090E-01      6.893523255765E-02
    3.000000      1.665300743566E-01      6.389247269657E-02
    3.100000      1.536602101016E-01      5.738552318041E-02
    3.200000      1.371257185326E-01      4.968798818348E-02
    3.300000      1.183678091829E-01      4.146319393622E-02
    3.400000      9.981718237374E-02      3.368556870514E-02
    3.500000      8.472294938511E-02      2.750437854603E-02
    3.600000      7.641914714203E-02      2.408003344497E-02
    3.700000      7.704381232732E-02      2.440703979936E-02
    3.800000      8.733188691542E-02      2.912954022533E-02
    3.900000      1.069386854049E-01      3.836590837182E-02
    4.000000      1.341758845187E-01      5.158021323641E-02
    4.100000      1.658304161991E-01      6.755165404298E-02
    4.200000      1.980013667200E-01      8.448244955697E-02
    4.300000      2.269436700772E-01      1.002486807452E-01
    4.400000      2.494397133343E-01      1.127526831615E-01
    4.500000      2.630071554939E-01      1.203026711839E-01
    4.600000      2.661122475084E-01      1.219384562540E-01
    4.700000      2.583925940243E-01      1.176358428883E-01
    4.800000      2.408459633861E-01      1.083439684870E-01
    4.900000      2.159371517230E-01      9.583677443017E-02
    5.000000      1.875731692177E-01      8.239617821881E-02
    5.100000      1.609044115913E-01      7.038525895547E-02
    5.200000      1.417994026219E-01      6.179883152708E-02
    5.300000      1.350498227139E-01      5.788461858088E-02
    5.400000      1.413808738041E-01      5.891277207353E-02
    5.500000      1.571308754275E-01      6.414293841908E-02
    5.600000      1.770867505195E-01      7.200085318615E-02
    5.700000      1.964319898965E-01      8.043175647391E-02
