# M=12, N=6, V0=0.0, V=0.25, PBC
#  time (tJ)                       0                       1                       2                       3                       4                       5                       6                       7                       8                       9                      10                      11
    0.000000      5.000000000000E-01      1.463319220120E-01      2.500000000000E-01      2.361111111111E-01      2.500000000000E-01      2.425569668769E-01      2.500000000000E-01      2.425569668769E-01      2.500000000000E-01      2.361111111111E-01      2.500000000000E-01      1.463319220120E-01
    0.100000      5.000000000000E-01      1.459246630191E-01      2.505666892375E-01      2.359405464254E-01      2.500453890305E-01      2.425029106167E-01      2.500396033418E-01      2.425029106167E-01      2.500453890305E-01      2.359405464254E-01      2.505666892375E-01      1.459246630191E-01
    0.200000      5.000000000000E-01      1.447871832957E-01      2.521262228937E-01      2.354839046077E-01      2.501843546617E-01      2.423407011125E-01      2.501552668574E-01      2.423407011125E-01      2.501843546617E-01      2.354839046077E-01      2.521262228937E-01      1.447871832957E-01
    0.300000      5.000000000000E-01      1.431515673698E-01      2.542964261062E-01      2.348856586194E-01      2.504252162158E-01      2.420724320206E-01      2.503373993365E-01      2.420724320206E-01      2.504252162158E-01      2.348856586194E-01      2.542964261062E-01      1.431515673698E-01
    0.400000      5.000000000000E-01      1.413410852577E-01      2.565595330899E-01      2.343258317949E-01      2.507804400591E-01      2.417081035968E-01      2.505700124032E-01      2.417081035968E-01      2.507804400591E-01      2.343258317949E-01      2.565595330899E-01      1.413410852577E-01
    0.500000      5.000000000000E-01      1.396934507694E-01      2.584023020316E-01      2.339541208803E-01      2.512615275370E-01      2.412725126507E-01      2.508321722620E-01      2.412725126507E-01      2.512615275370E-01      2.339541208803E-01      2.584023020316E-01      1.396934507694E-01
    0.600000      5.000000000000E-01      1.384846255721E-01      2.594482181070E-01      2.338375348486E-01      2.518687832103E-01      2.408098534289E-01      2.511019696662E-01      2.408098534289E-01      2.518687832103E-01      2.338375348486E-01      2.594482181070E-01      1.384846255721E-01
    0.700000      5.000000000000E-01      1.378726952223E-01      2.595441213198E-01      2.339411294386E-01      2.525778347079E-01      2.403826824180E-01      2.513630737870E-01      2.403826824180E-01      2.525778347079E-01      2.339411294386E-01      2.595441213198E-01      1.378726952223E-01
    0.800000      5.000000000000E-01      1.378746341366E-01      2.587796167161E-01      2.341478582228E-01      2.533285017361E-01      2.400632728348E-01      2.516122327072E-01      2.400632728348E-01      2.533285017361E-01      2.341478582228E-01      2.587796167161E-01      1.378746341366E-01
    0.900000      5.000000000000E-01      1.383788835493E-01      2.574393964323E-01      2.343081258794E-01      2.540234133006E-01      2.399179414531E-01      2.518644787706E-01      2.399179414531E-01      2.540234133006E-01      2.343081258794E-01      2.574393964323E-01      1.383788835493E-01
    1.000000      5.000000000000E-01      1.391867989494E-01      2.559085734799E-01      2.342986263860E-01      2.545419118270E-01      2.399879624332E-01      2.521522538488E-01      2.399879624332E-01      2.545419118270E-01      2.342986263860E-01      2.559085734799E-01      1.391867989494E-01
    1.100000      5.000000000000E-01      1.400691176604E-01      2.545629350734E-01      2.340676908078E-01      2.547692732070E-01      2.402730224923E-01      2.525159215181E-01      2.402730224923E-01      2.547692732070E-01      2.340676908078E-01      2.545629350734E-01      1.400691176604E-01
    1.200000      5.000000000000E-01      1.408213805771E-01      2.536766533150E-01      2.336511090647E-01      2.546341132587E-01      2.407236377115E-01      2.529862121459E-01      2.407236377115E-01      2.546341132587E-01      2.336511090647E-01      2.536766533150E-01      1.408213805771E-01
    1.300000      5.000000000000E-01      1.413047939168E-01      2.533705237417E-01      2.331549295991E-01      2.541412456762E-01      2.412469398788E-01      2.535631343750E-01      2.412469398788E-01      2.541412456762E-01      2.331549295991E-01      2.533705237417E-01      1.413047939168E-01
    1.400000      5.000000000000E-01      1.414649344116E-01      2.536085948372E-01      2.327146282709E-01      2.533861442108E-01      2.417261455997E-01      2.541991053393E-01      2.417261455997E-01      2.533861442108E-01      2.327146282709E-01      2.536085948372E-01      1.414649344116E-01
    1.500000      5.000000000000E-01      1.413277474147E-01      2.542358101003E-01      2.324480793369E-01      2.525417747739E-01      2.420492267168E-01      2.547947233147E-01      2.420492267168E-01      2.525417747739E-01      2.324480793369E-01      2.542358101003E-01      1.413277474147E-01
    1.600000      5.000000000000E-01      1.409782322581E-01      2.550388767601E-01      2.324201657582E-01      2.518176987780E-01      2.421386609795E-01      2.552127309321E-01      2.421386609795E-01      2.518176987780E-01      2.324201657582E-01      2.550388767601E-01      1.409782322581E-01
    1.700000      5.000000000000E-01      1.405305444998E-01      2.558094477224E-01      2.326302203125E-01      2.514017260425E-01      2.419731846191E-01      2.553097536074E-01      2.419731846191E-01      2.514017260425E-01      2.326302203125E-01      2.558094477224E-01      1.405305444998E-01
    1.800000      5.000000000000E-01      1.400985360304E-01      2.563924218824E-01      2.330232299216E-01      2.514019533309E-01      2.415946904317E-01      2.549783368061E-01      2.415946904317E-01      2.514019533309E-01      2.330232299216E-01      2.563924218824E-01      1.400985360304E-01
    1.900000      5.000000000000E-01      1.397735685798E-01      2.567101002797E-01      2.335164560342E-01      2.518085961010E-01      2.410980350491E-01      2.541864879124E-01      2.410980350491E-01      2.518085961010E-01      2.335164560342E-01      2.567101002797E-01      1.397735685798E-01
    2.000000      5.000000000000E-01      1.396129485734E-01      2.567616292943E-01      2.340285295910E-01      2.524896548758E-01      2.406068162056E-01      2.530008429196E-01      2.406068162056E-01      2.524896548758E-01      2.340285295910E-01      2.567616292943E-01      1.396129485734E-01
