# M=12, N=6, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=2)                 S₂(n=2)
    0.000000      0.000000000000E+00      4.440892098501E-16
    0.100000      1.455061527197E-03      2.823804890819E-04
    0.200000      4.840814920438E-03      1.080858068838E-03
    0.300000      9.276467940499E-03      2.260141879361E-03
    0.400000      1.400047951934E-02      3.627667678615E-03
    0.500000      1.835149919799E-02      4.974162129355E-03
    0.600000      2.182689231165E-02      6.115426853088E-03
    0.700000      2.412820599962E-02      6.925585431228E-03
    0.800000      2.517732478471E-02      7.354822949228E-03
    0.900000      2.510079131981E-02      7.429025911354E-03
    1.000000      2.418670132113E-02      7.233370577595E-03
    1.100000      2.282327932520E-02      6.885539010348E-03
    1.200000      2.143023863904E-02      6.506007136283E-03
    1.300000      2.035358982745E-02      6.192501433979E-03
    1.400000      1.976200727435E-02      6.003632289774E-03
    1.500000      1.969768976513E-02      5.953700050586E-03
    1.600000      2.011037633282E-02      6.017698337040E-03
    1.700000      2.080078455746E-02      6.143396706001E-03
    1.800000      2.146709586738E-02      6.266462468191E-03
    1.900000      2.186745992257E-02      6.324834082059E-03
    2.000000      2.183800314096E-02      6.269635138274E-03
    2.100000      2.129467913717E-02      6.071362227376E-03
    2.200000      2.023068346281E-02      5.721483145813E-03
    2.300000      1.870689249238E-02      5.230639470923E-03
    2.400000      1.683141649037E-02      4.625160926933E-03
    2.500000      1.472169448735E-02      3.943489944365E-03
    2.600000      1.249174952879E-02      3.233467458468E-03
    2.700000      1.027230950633E-02      2.550506571590E-03
    2.800000      8.241611414434E-03      1.955847507912E-03
    2.900000      6.638053061644E-03      1.513676810815E-03
    3.000000      5.741516349577E-03      1.286065281909E-03
    3.100000      5.817263467951E-03      1.325374050190E-03
    3.200000      7.015036364908E-03      1.664774319260E-03
    3.300000      9.226097994794E-03      2.308534028105E-03
    3.400000      1.221756516211E-02      3.224457126390E-03
    3.500000      1.571062486122E-02      4.341067125739E-03
    3.600000      1.938189461507E-02      5.551623687629E-03
    3.700000      2.287145937908E-02      6.725805890761E-03
    3.800000      2.581291632706E-02      7.728070219811E-03
    3.900000      2.787975351848E-02      8.439731626903E-03
    4.000000      2.884545549600E-02      8.780322507178E-03
    4.100000      2.862534977014E-02      8.723317776191E-03
    4.200000      2.729415159237E-02      8.302166727184E-03
    4.300000      2.508160159400E-02      7.604626477056E-03
    4.400000      2.234719809561E-02      6.756133700314E-03
    4.500000      1.953862254848E-02      5.895628957145E-03
    4.600000      1.714510054756E-02      5.149107064362E-03
    4.700000      1.562687968196E-02      4.606683555403E-03
