# M=24, N=12, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000     -1.776356839400E-15      2.220446049250E-15
    0.100000      8.871271984923E-04      1.737291190085E-04
    0.200000      2.948666271034E-03      6.652635909861E-04
    0.300000      5.649759764565E-03      1.392145854088E-03
    0.400000      8.531454756490E-03      2.236951398673E-03
    0.500000      1.119694706087E-02      3.071946670385E-03
    0.600000      1.334546398521E-02      3.784487881052E-03
    0.700000      1.479834505996E-02      4.297209569466E-03
    0.800000      1.550760638606E-02      4.578754064318E-03
    0.900000      1.554558969860E-02      4.643492864044E-03
    1.000000      1.507838209505E-02      4.541557736407E-03
    1.100000      1.432829252400E-02      4.342722797669E-03
    1.200000      1.353164196213E-02      4.118715643741E-03
    1.300000      1.289279453788E-02      3.928248649797E-03
    1.400000      1.253144366182E-02      3.807714405227E-03
    1.500000      1.246367736720E-02      3.768611928255E-03
    1.600000      1.263084443156E-02      3.800957723044E-03
    1.700000      1.293632060201E-02      3.880658100251E-03
    1.800000      1.327734476286E-02      3.978306546609E-03
    1.900000      1.356804669654E-02      4.067094183905E-03
    2.000000      1.375285713320E-02      4.128259938058E-03
    2.100000      1.381077363563E-02      4.153450132157E-03
    2.200000      1.375207780566E-02      4.144216011303E-03
    2.300000      1.361002181573E-02      4.109460688257E-03
    2.400000      1.343002886972E-02      4.061888093517E-03
    2.500000      1.325824833276E-02      4.014447618882E-03
    2.600000      1.313101612420E-02      3.977513538153E-03
    2.700000      1.306798240377E-02      3.957204390353E-03
    2.800000      1.307088439574E-02      3.954926971971E-03
    2.900000      1.312694674789E-02      3.967977417363E-03
    3.000000      1.321513292708E-02      3.990869738592E-03
    3.100000      1.331260131561E-02      4.016990890535E-03
    3.200000      1.339934208813E-02      4.040191560900E-03
    3.300000      1.346089188177E-02      4.055998789001E-03
    3.400000      1.348975137114E-02      4.062260155989E-03
    3.500000      1.348576111250E-02      4.059173551398E-03
    3.600000      1.345526894288E-02      4.048791506216E-03
    3.700000      1.340902782611E-02      4.034187089055E-03
    3.800000      1.335917709258E-02      4.018511267689E-03
    3.900000      1.331612336340E-02      4.004156101515E-03
    4.000000      1.328627877923E-02      3.992176007378E-03
    4.100000      1.327081847971E-02      3.982033084978E-03
    4.200000      1.326484162915E-02      3.971647579379E-03
    4.300000      1.325708090134E-02      3.957672038879E-03
    4.400000      1.323126872425E-02      3.935879364138E-03
    4.500000      1.316920440111E-02      3.901562003992E-03
    4.600000      1.305396833918E-02      3.849874568295E-03
    4.700000      1.287188585049E-02      3.776102201099E-03
    4.800000      1.261266560327E-02      3.675887310542E-03
    4.900000      1.226771418236E-02      3.545483709891E-03
    5.000000      1.182788501292E-02      3.382119094537E-03
    5.100000      1.128341886688E-02      3.184528323232E-03
    5.200000      1.062758409432E-02      2.953671948766E-03
    5.300000      9.862516654471E-03      2.693584738078E-03
    5.400000      9.005000345284E-03      2.412221803904E-03
    5.500000      8.090646558439E-03      2.122103742799E-03
    5.600000      7.175413319225E-03      1.840525570820E-03
    5.700000      6.334367053912E-03      1.589102500233E-03
    5.800000      5.658284423033E-03      1.392487166124E-03
    5.900000      5.245560191791E-03      1.276207343360E-03
    6.000000      5.185514456831E-03      1.263729960011E-03
    6.100000      5.537543808837E-03      1.373035183129E-03
    6.200000      6.314495195660E-03      1.613152420120E-03
    6.300000      7.479234773897E-03      1.981230299985E-03
    6.400000      8.956989620510E-03      2.460747196149E-03
    6.500000      1.064255210442E-02      3.021389917471E-03
    6.600000      1.240236942746E-02      3.620928540713E-03
    6.700000      1.408970362388E-02      4.209114290198E-03
    6.800000      1.556424956252E-02      4.733269996847E-03
    6.900000      1.670514736584E-02      5.144892408231E-03
    7.000000      1.742010267117E-02      5.406312777275E-03
    7.100000      1.765475363076E-02      5.496331450289E-03
    7.200000      1.740165786524E-02      5.413800358829E-03
    7.300000      1.670516188245E-02      5.178390834644E-03
    7.400000      1.566010895707E-02      4.828228207745E-03
    7.500000      1.440435776153E-02      4.414628289369E-03
    7.600000      1.310551473489E-02      3.994724479131E-03
