# log(L/π sin (π l / L))    S1
0.7442698572870118    0.9676368795097036
0.8384508192782665    1.0017408735462847
0.9114891163327088    1.0268252718746957
1.0441112872999856    1.074971376645607
1.1306040074960357    1.1050702394852099
1.267070299360915    1.15222713722933
1.4246792561626065    1.2044146005145788
1.525587429724665    1.2405271980358759
1.5976646965547068    1.2646123261937845
1.7562346835807987    1.3158045445660158
1.8225457690644369    1.3398775969514714
1.9421940320023063    1.3790212133585213
1.9839988467637308    1.3940676258352096
2.078179808754985    1.4251798472465103
2.139685743116621    1.445253806321214
2.2088799192734614    1.4693328965928965
2.345826726250541    1.514496285567867
2.458747777617606    1.5536258135737218
2.543318437364855    1.5817261360723198
2.6125126135216954    1.6038107112604818
2.658642064292922    1.61986343810827
2.7537840565085774    1.6505787691316085
2.8466195761856707    1.6842810424712464
2.939455095862765    1.7137948341354918
3.036326942482341    1.747505560515847
3.0968718466195764    1.768574764503569
