# M=14, N=7, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      0.000000000000E+00      2.220446049250E-16
    0.100000      8.159709106415E-04      1.561008568431E-04
    0.200000      2.659017199427E-03      5.820397004819E-04
    0.300000      4.914740381120E-03      1.164678960544E-03
    0.400000      7.045797734023E-03      1.756883563262E-03
    0.500000      8.639005972980E-03      2.223872715688E-03
    0.600000      9.470779534830E-03      2.482899807525E-03
    0.700000      9.534046661207E-03      2.523170303474E-03
    0.800000      9.018035355209E-03      2.400733300135E-03
    0.900000      8.246332785087E-03      2.212332003787E-03
    1.000000      7.586212723254E-03      2.059256727548E-03
    1.100000      7.341235142072E-03      2.014587352046E-03
    1.200000      7.636530849074E-03      2.104372235590E-03
    1.300000      8.363672063473E-03      2.306917533676E-03
    1.400000      9.277041125304E-03      2.567354896641E-03
    1.500000      1.012755846415E-02      2.819806400279E-03
    1.600000      1.073171869159E-02      3.008291744967E-03
    1.700000      1.099683649610E-02      3.099830110736E-03
    1.800000      1.091888672388E-02      3.087432906814E-03
    1.900000      1.056085355562E-02      2.984830177503E-03
    2.000000      1.002020637816E-02      2.817211380542E-03
    2.100000      9.393744448680E-03      2.612390328071E-03
    2.200000      8.751481237445E-03      2.395113726622E-03
    2.300000      8.135169348656E-03      2.184904166269E-03
    2.400000      7.575491997794E-03      1.996085288821E-03
    2.500000      7.102030192467E-03      1.838168031768E-03
    2.600000      6.735097493500E-03      1.715499148370E-03
    2.700000      6.471497816186E-03      1.626312003186E-03
    2.800000      6.281539722469E-03      1.562258112948E-03
    2.900000      6.117590179094E-03      1.509619887629E-03
    3.000000      5.927723796075E-03      1.452703251594E-03
    3.100000      5.671180094869E-03      1.378801926952E-03
    3.200000      5.332762064922E-03      1.283190709459E-03
    3.300000      4.933190518897E-03      1.172294490265E-03
    3.400000      4.532281746632E-03      1.063640264091E-03
    3.500000      4.221597811112E-03      9.822492714870E-04
    3.600000      4.104187382117E-03      9.543602808437E-04
    3.700000      4.262086377251E-03      1.000332109837E-03
    3.800000      4.719795483042E-03      1.128901691647E-03
    3.900000      5.433451164355E-03      1.334547253113E-03
    4.000000      6.317621891996E-03      1.598672926969E-03
    4.100000      7.275841950383E-03      1.894069752524E-03
    4.200000      8.218109190178E-03      2.191083037321E-03
    4.300000      9.067944007435E-03      2.463488607436E-03
    4.400000      9.767467029571E-03      2.692372535906E-03
