# M=8, N=4, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      0.000000000000E+00      8.881784197001E-16
    0.100000      8.300814702646E-04      1.590265119711E-04
    0.200000      2.697332465213E-03      5.911104650735E-04
    0.300000      4.961706657529E-03      1.176116306845E-03
    0.400000      7.060094138927E-03      1.757687852449E-03
    0.500000      8.556468242043E-03      2.191755826718E-03
    0.600000      9.207269874753E-03      2.387418997778E-03
    0.700000      8.985643331648E-03      2.327187305558E-03
    0.800000      8.059311057633E-03      2.062435733590E-03
    0.900000      6.732206554204E-03      1.689287528099E-03
    1.000000      5.367678835025E-03      1.316051844925E-03
    1.100000      4.310374778652E-03      1.033835102336E-03
    1.200000      3.808368022330E-03      8.978518696170E-04
    1.300000      3.930947352780E-03      9.211431531102E-04
    1.400000      4.555721273825E-03      1.078003125982E-03
    1.500000      5.446960367876E-03      1.313111027028E-03
    1.600000      6.329675739262E-03      1.553716998512E-03
    1.700000      6.942348976609E-03      1.724250084191E-03
    1.800000      7.082428163080E-03      1.763291126140E-03
    1.900000      6.650213086456E-03      1.641162021297E-03
    2.000000      5.686548402086E-03      1.373496491456E-03
    2.100000      4.391973084500E-03      1.024416749888E-03
    2.200000      3.112021319428E-03      6.944301182581E-04
    2.300000      2.271588548623E-03      4.932280682286E-04
    2.400000      2.258234307609E-03      5.043404101872E-04
    2.500000      3.246219843301E-03      7.537777830300E-04
    2.600000      4.949988087806E-03      1.195353210515E-03
    2.700000      6.866581767631E-03      1.720224612440E-03
    2.800000      8.505022012130E-03      2.189042145450E-03
    2.900000      9.480575480847E-03      2.475818897386E-03
    3.000000      9.588765253664E-03      2.507541915904E-03
    3.100000      8.839488606917E-03      2.285079702749E-03
    3.200000      7.441687352181E-03      1.878516720716E-03
    3.300000      5.743755198429E-03      1.400249417241E-03
    3.400000      4.145179892084E-03      9.674617810478E-04
    3.500000      2.996761543941E-03      6.684448901910E-04
    3.600000      2.503876291892E-03      5.438021806268E-04
    3.700000      2.673696504872E-03      5.860417073076E-04
    3.800000      3.340555542998E-03      7.532983707019E-04
    3.900000      4.253717977338E-03      9.885152178615E-04
    4.000000      5.183249452125E-03      1.235816267844E-03
    4.100000      5.965210855236E-03      1.449901058729E-03
    4.200000      6.498673590968E-03      1.599235174296E-03
    4.300000      6.734211034142E-03      1.666706355182E-03
    4.400000      6.671165521565E-03      1.650915652071E-03
    4.500000      6.363606317187E-03      1.568250566133E-03
    4.600000      5.924210293362E-03      1.452790464813E-03
    4.700000      5.513527579841E-03      1.350357051791E-03
    4.800000      5.306839128927E-03      1.305514042977E-03
    4.900000      5.431633553382E-03      1.344779049502E-03
    5.000000      5.881412776957E-03      1.463045720183E-03
    5.100000      6.488144951793E-03      1.620646703069E-03
    5.200000      7.002294242226E-03      1.754711489046E-03
    5.300000      7.195269097519E-03      1.801972307939E-03
    5.400000      6.936085905610E-03      1.724195084130E-03
    5.500000      6.234297068526E-03      1.525240605983E-03
    5.600000      5.242028073881E-03      1.251843051891E-03
    5.700000      4.213716922631E-03      9.772726252291E-04
    5.800000      3.430598949774E-03      7.747590861551E-04
    5.900000      3.103601238967E-03      6.921144402754E-04
    6.000000      3.286217819542E-03      7.381376135502E-04
    6.100000      3.861929643738E-03      8.855491981645E-04
    6.200000      4.628534633079E-03      1.087354264416E-03
    6.300000      5.402095902554E-03      1.297620542044E-03
    6.400000      6.074710792056E-03      1.486550809215E-03
    6.500000      6.618521005588E-03      1.643728053029E-03
    6.600000      7.050115456020E-03      1.770196162066E-03
    6.700000      7.379584756390E-03      1.865938050444E-03
    6.800000      7.576091492194E-03      1.921249841347E-03
    6.900000      7.572221144055E-03      1.917614075958E-03
