# M=16, N=8, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(ℓ=8)                 S₂(ℓ=8)
    0.000000      1.270191330997E+00      9.635005380843E-01
    0.100000      1.270634380219E+00      9.637366533940E-01
    0.200000      1.271833449149E+00      9.643713438190E-01
    0.300000      1.273449152030E+00      9.652057744258E-01
    0.400000      1.275047865131E+00      9.659750689323E-01
    0.500000      1.276244112282E+00      9.664252898637E-01
    0.600000      1.276820787405E+00      9.663840043042E-01
    0.700000      1.276785288548E+00      9.658034979412E-01
    0.800000      1.276344388959E+00      9.647658373993E-01
    0.900000      1.275808783867E+00      9.634518861727E-01
    1.000000      1.275467994318E+00      9.620872751383E-01
    1.100000      1.275498230751E+00      9.608836446271E-01
    1.200000      1.275926150818E+00      9.599921179042E-01
    1.300000      1.276638652084E+00      9.594794331523E-01
    1.400000      1.277442220059E+00      9.593285965449E-01
    1.500000      1.278136137627E+00      9.594586473467E-01
    1.600000      1.278579837846E+00      9.597543339101E-01
    1.700000      1.278735575974E+00      9.600965797929E-01
    1.800000      1.278669865706E+00      9.603873704015E-01
    1.900000      1.278516057575E+00      9.605661828554E-01
    2.000000      1.278414277878E+00      9.606176978485E-01
    2.100000      1.278457754962E+00      9.605716321554E-01
    2.200000      1.278668137283E+00      9.604954721104E-01
    2.300000      1.279002449776E+00      9.604805763234E-01
    2.400000      1.279384710739E+00      9.606224570614E-01
    2.500000      1.279745954301E+00      9.609975086405E-01
    2.600000      1.280045958904E+00      9.616406873148E-01
    2.700000      1.280269007221E+00      9.625304026962E-01
    2.800000      1.280407689626E+00      9.635865334501E-01
    2.900000      1.280453136666E+00      9.646842476951E-01
    3.000000      1.280399627446E+00      9.656811713673E-01
    3.100000      1.280243056521E+00      9.664507219513E-01
    3.200000      1.279975159870E+00      9.669121913484E-01
    3.300000      1.279589844448E+00      9.670490573439E-01
    3.400000      1.279099338264E+00      9.669104139044E-01
    3.500000      1.278557778707E+00      9.665953201137E-01
    3.600000      1.278062756921E+00      9.662250306541E-01
    3.700000      1.277708176439E+00      9.659116958875E-01
    3.800000      1.277536672563E+00      9.657324519330E-01
    3.900000      1.277534117575E+00      9.657147132448E-01
    4.000000      1.277665348648E+00      9.658340183709E-01
    4.100000      1.277896443138E+00      9.660226292111E-01
    4.200000      1.278191086281E+00      9.661860810993E-01
    4.300000      1.278510809526E+00      9.662246565193E-01
    4.400000      1.278814340382E+00      9.660558609806E-01
    4.500000      1.279055630744E+00      9.656328924784E-01
    4.600000      1.279215134899E+00      9.649546091896E-01
    4.700000      1.279326053137E+00      9.640652810024E-01
    4.800000      1.279456304923E+00      9.630458109794E-01
    4.900000      1.279664928241E+00      9.619997641143E-01
    5.000000      1.279954321040E+00      9.610368591831E-01
    5.100000      1.280264675632E+00      9.602552764456E-01
    5.200000      1.280507402854E+00      9.597242385628E-01
    5.300000      1.280606239780E+00      9.594699886828E-01
    5.400000      1.280531681614E+00      9.594696684448E-01
    5.500000      1.280313708288E+00      9.596567047272E-01
    5.600000      1.280026065774E+00      9.599379165013E-01
    5.700000      1.279758776582E+00      9.602183790112E-01
    5.800000      1.279595397779E+00      9.604273653857E-01
    5.900000      1.279594486252E+00      9.605384854341E-01
    6.000000      1.279775038306E+00      9.605788648566E-01
    6.100000      1.280104841854E+00      9.606245932843E-01
    6.200000      1.280499273289E+00      9.607821433479E-01
    6.300000      1.280844843720E+00      9.611584389060E-01
    6.400000      1.281047295180E+00      9.618260221640E-01
    6.500000      1.281075263426E+00      9.627932222857E-01
    6.600000      1.280965086003E+00      9.639899793745E-01
    6.700000      1.280785094899E+00      9.652761982497E-01
    6.800000      1.280587398123E+00      9.664718954255E-01
    6.900000      1.280384749768E+00      9.674003791357E-01
    7.000000      1.280165248351E+00      9.679313139252E-01
    7.100000      1.279911715567E+00      9.680116194158E-01
    7.200000      1.279598485609E+00      9.676772273928E-01
    7.300000      1.279195023791E+00      9.670444588017E-01
    7.400000      1.278697867132E+00      9.662838697664E-01
    7.500000      1.278164884764E+00      9.655819065711E-01
    7.600000      1.277707018937E+00      9.650978355722E-01
    7.700000      1.277423019141E+00      9.649254302314E-01
    7.800000      1.277345258975E+00      9.650693813737E-01
    7.900000      1.277454704824E+00      9.654436573780E-01
    8.000000      1.277708847411E+00      9.658930697363E-01
    8.100000      1.278047080055E+00      9.662323031958E-01
    8.200000      1.278396788431E+00      9.662917138627E-01
    8.300000      1.278679371913E+00      9.659581692961E-01
    8.400000      1.278823996820E+00      9.652017506111E-01
    8.500000      1.278794512004E+00      9.640833331471E-01
    8.600000      1.278616368840E+00      9.627421050417E-01
    8.700000      1.278375110324E+00      9.613655033197E-01
    8.800000      1.278178316636E+00      9.601474122885E-01
    8.900000      1.278108191657E+00      9.592439484212E-01
    9.000000      1.278199243588E+00      9.587384555538E-01
    9.100000      1.278430969528E+00      9.586262626063E-01
    9.200000      1.278730716470E+00      9.588241839595E-01
    9.300000      1.279000878465E+00      9.592012639731E-01
    9.400000      1.279161435834E+00      9.596198242924E-01
    9.500000      1.279179114508E+00      9.599732353643E-01
    9.600000      1.279072183250E+00      9.602098786795E-01
    9.700000      1.278897442882E+00      9.603390120712E-01
    9.800000      1.278737421815E+00      9.604201220509E-01
    9.900000      1.278687603139E+00      9.605409094778E-01
   10.000000      1.278822983270E+00      9.607905765138E-01
   10.100000      1.279154440803E+00      9.612353923456E-01
   10.200000      1.279604554639E+00      9.619025350473E-01
   10.300000      1.280026193707E+00      9.627754050808E-01
   10.400000      1.280267974467E+00      9.637994851911E-01
   10.500000      1.280249340227E+00      9.648943359573E-01
   10.600000      1.279992972521E+00      9.659665000553E-01
   10.700000      1.279605408145E+00      9.669202704010E-01
   10.800000      1.279224772227E+00      9.676666760999E-01
   10.900000      1.278956700178E+00      9.681330898081E-01
   11.000000      1.278833666786E+00      9.682750569819E-01
   11.100000      1.278810203151E+00      9.680888059772E-01
   11.200000      1.278785962296E+00      9.676195597585E-01
   11.300000      1.278662029997E+00      9.669597027796E-01
   11.400000      1.278388778582E+00      9.662333647845E-01
   11.500000      1.277986123866E+00      9.655692787972E-01
   11.600000      1.277537274739E+00      9.650692448858E-01
   11.700000      1.277157224836E+00      9.647822563953E-01
   11.800000      1.276943460511E+00      9.646928568609E-01
   11.900000      1.276936786312E+00      9.647273664937E-01
   12.000000      1.277119114226E+00      9.647755678083E-01
   12.100000      1.277439432335E+00      9.647207295136E-01
   12.200000      1.277833036017E+00      9.644690021117E-01
   12.300000      1.278226290602E+00      9.639705004703E-01
   12.400000      1.278536721575E+00      9.632279525294E-01
   12.500000      1.278684943176E+00      9.622930661431E-01
   12.600000      1.278627775596E+00      9.612540492608E-01
   12.700000      1.278381125449E+00      9.602189246069E-01
   12.800000      1.278015311925E+00      9.592984316485E-01
   12.900000      1.277632742561E+00      9.585904532110E-01
   13.000000      1.277338740693E+00      9.581664536899E-01
   13.100000      1.277218980841E+00      9.580602866472E-01
   13.200000      1.277323232431E+00      9.582608025104E-01
   13.300000      1.277653945616E+00      9.587109430868E-01
   13.400000      1.278161654744E+00      9.593162052598E-01
